#code	score
4ih7_ligand	-21.029131
4ih7_12	-9.030767
4ih7_129	25.432963
4ih7_133	5.041192
4ih7_159	25.374976
4ih7_212	-15.17681
4ih7_219	-6.643955
4ih7_241	-18.091012
4ih7_302	-4.784325
4ih7_307	-10.101901
4ih7_341	-13.046088
4ih7_351	-3.977968
4ih7_378	-3.081598
4ih7_405	0.658646
4ih7_412	7.394253
4ih7_414	42.102651
4ih7_415	13.535936
4ih7_438	12.308459
4ih7_459	30.361519
4ih7_461	32.173282
4ih7_477	41.761542
4ih7_481	16.594737
4ih7_483	36.58361
4ih7_501	6.88717
4ih7_504	2.074257
4ih7_519	21.474379
4ih7_522	43.681029
4ih7_523	29.734546
4ih7_527	66.172922
4ih7_529	29.617618
4ih7_539	45.667541
4ih7_548	71.885304
4ih7_552	20.124967
4ih7_555	39.538263
4ih7_560	3.656459
4ih7_561	69.673209
4ih7_563	89.429536
4ih7_564	34.471826
4ih7_565	23.185236
4ih7_567	83.937648
4ih7_570	54.614655
4ih7_572	67.465247
4ih7_577	61.042072
4ih7_583	53.396205
4ih7_591	31.279368
4ih7_596	63.246315
4ih7_597	36.171393
4ih7_598	89.468923
4ih7_600	23.253262
4ih7_632	47.57409
4ih7_645	67.205163
4ih7_650	85.403137
4ih7_661	28.729183
4ih7_671	36.628852
4ih7_704	-1.332173
4ih7_72	-3.405342
4ih7_729	16.613942
4ih7_734	46.145801
4ih7_739	27.845516
4ih7_742	12.776141
4ih7_743	16.92063
4ih7_748	25.80634
4ih7_749	27.195448
4ih7_755	0.039504
4ih7_760	23.997183
4ih7_777	40.907542
4ih7_788	35.285285
4ih7_789	27.957123
4ih7_794	36.072117
4ih7_796	10.273318
4ih7_822	22.212579
4ih7_829	8.653686
4ih7_877	12.257375
4ih7_880	24.026541
4ih7_885	38.545329
4ih7_937	21.336274
4ih7_940	18.555266
4ih7_980	30.000925
