#code	score
4j21_ligand	-17.181741
4j21_119	30.334496
4j21_18	-2.744336
4j21_190	22.327452
4j21_270	47.115357
4j21_30	-19.555284
4j21_352	-21.54311
4j21_37	2.368378
4j21_375	-5.339234
4j21_393	-18.904011
4j21_428	26.642394
4j21_430	23.693887
4j21_438	67.345559
4j21_442	22.717673
4j21_444	41.211506
4j21_447	30.942785
4j21_453	11.544244
4j21_456	20.924026
4j21_462	-11.225731
4j21_463	29.246692
4j21_471	53.325901
4j21_475	28.28699
4j21_478	66.123237
4j21_479	48.978861
4j21_483	30.907894
4j21_485	39.679582
4j21_489	70.018416
4j21_490	65.621717
4j21_493	51.012388
4j21_499	26.413376
4j21_50	-12.12457
4j21_514	69.650028
4j21_524	59.127295
4j21_535	49.629571
4j21_540	23.823396
4j21_553	82.544077
4j21_559	48.620771
4j21_569	25.750639
4j21_572	86.374984
4j21_574	33.782312
4j21_575	53.565224
4j21_577	48.086021
4j21_582	66.871092
4j21_594	16.706482
4j21_597	89.533833
4j21_620	115.003695
4j21_625	108.904465
4j21_627	78.763662
4j21_645	32.935792
4j21_678	128.71193
4j21_680	109.911274
4j21_686	61.258885
4j21_688	117.112835
4j21_730	54.736276
4j21_731	33.797003
4j21_734	43.032797
4j21_735	31.514469
4j21_736	10.320203
4j21_740	13.510896
4j21_741	28.818892
4j21_751	37.852444
4j21_752	21.694159
4j21_753	10.894866
4j21_754	12.730945
4j21_755	63.2249
4j21_756	25.843958
4j21_757	23.901524
4j21_761	23.360191
4j21_762	67.932863
4j21_763	58.472773
4j21_765	15.561377
4j21_767	41.897546
4j21_768	33.139075
4j21_770	36.06375
4j21_771	17.565936
4j21_774	48.562336
4j21_775	26.167801
4j21_780	135.150365
4j21_804	93.782634
4j21_827	43.665771
4j21_830	26.325889
4j21_839	38.074475
4j21_842	37.578395
4j21_846	21.26069
4j21_848	38.669247
4j21_849	35.132328
4j21_856	22.359257
4j21_86	-15.544582
4j21_869	14.330512
4j21_876	20.992625
4j21_952	63.614927
4j21_955	38.278738
4j21_967	42.340624
