#code	score
4k77_ligand	-14.659627
4k77_149	24.15473
4k77_167	-12.873313
4k77_173	18.518018
4k77_190	22.298663
4k77_207	8.738069
4k77_229	-0.180683
4k77_237	-10.549842
4k77_257	3.255004
4k77_290	4.710548
4k77_325	32.043127
4k77_328	-7.023775
4k77_331	3.308593
4k77_403	81.106422
4k77_409	29.655015
4k77_412	25.029302
4k77_416	40.397871
4k77_420	82.806485
4k77_428	60.385705
4k77_437	15.064125
4k77_440	15.60949
4k77_443	39.080612
4k77_444	77.89342
4k77_462	40.858721
4k77_478	57.980379
4k77_479	37.083271
4k77_482	47.510046
4k77_491	62.04318
4k77_516	40.689476
4k77_520	64.450812
4k77_521	35.953393
4k77_529	28.910046
4k77_546	65.52239
4k77_548	23.126549
4k77_557	47.592036
4k77_560	32.559192
4k77_562	41.110981
4k77_571	26.424245
4k77_572	33.463832
4k77_573	59.446568
4k77_576	42.102123
4k77_577	55.603605
4k77_585	77.101471
4k77_586	60.629447
4k77_592	73.309669
4k77_596	82.441271
4k77_597	50.175509
4k77_598	114.695726
4k77_601	47.780279
4k77_606	58.688335
4k77_608	45.952514
4k77_611	72.362896
4k77_625	92.523579
4k77_633	61.170053
4k77_634	31.291155
4k77_635	73.950273
4k77_642	56.4619
4k77_645	58.210197
4k77_661	67.402195
4k77_666	72.466964
4k77_681	71.568692
4k77_684	36.475495
4k77_688	82.693516
4k77_690	48.599011
4k77_693	34.445322
4k77_696	42.418556
4k77_699	33.182458
4k77_743	30.506685
4k77_748	13.897434
4k77_750	45.930621
4k77_757	35.407211
4k77_775	49.991355
4k77_782	76.113792
4k77_784	21.408096
4k77_789	45.745858
4k77_794	46.03494
4k77_869	60.574302
4k77_900	34.973218
4k77_932	6.61226
4k77_951	9.345817
4k77_959	68.788315
4k77_982	70.004947
4k77_990	15.765878
