#code	score
4qac_ligand	-34.344024
4qac_109	-26.339619
4qac_114	-24.663654
4qac_115	-30.091268
4qac_116	-19.005979
4qac_136	12.351753
4qac_144	-16.207167
4qac_194	-18.007622
4qac_232	-16.565436
4qac_353	-8.965608
4qac_372	-14.114978
4qac_406	63.946938
4qac_410	92.311453
4qac_411	51.689562
4qac_419	121.28307
4qac_424	77.729409
4qac_441	111.405024
4qac_444	73.058853
4qac_447	91.401238
4qac_450	82.893851
4qac_456	119.039906
4qac_466	125.855884
4qac_471	105.741867
4qac_476	106.423234
4qac_481	60.880222
4qac_484	93.573067
4qac_486	92.653689
4qac_489	80.575355
4qac_497	94.850612
4qac_499	78.681275
4qac_50	-16.750077
4qac_501	30.356033
4qac_502	32.784703
4qac_507	27.723218
4qac_509	46.825512
4qac_512	48.100901
4qac_513	69.020255
4qac_518	53.047365
4qac_538	23.045263
4qac_539	56.34435
4qac_550	57.478201
4qac_553	62.486979
4qac_557	121.045166
4qac_563	89.360792
4qac_565	55.454863
4qac_567	85.188874
4qac_569	45.038078
4qac_581	100.326231
4qac_588	55.804822
4qac_593	109.538873
4qac_600	108.606931
4qac_634	80.28284
4qac_635	97.306633
4qac_659	72.836997
4qac_673	109.561189
4qac_683	47.65292
4qac_689	59.07863
4qac_692	97.294749
4qac_702	0.12765
4qac_711	91.411487
4qac_718	48.747037
4qac_722	35.751226
4qac_739	74.62167
4qac_745	73.985045
4qac_755	29.561359
4qac_764	45.845071
4qac_769	89.256198
4qac_770	40.958666
4qac_772	88.704535
4qac_773	61.041524
4qac_777	108.296545
4qac_780	57.865999
4qac_781	65.83548
4qac_782	100.157335
4qac_786	124.867605
4qac_787	111.120208
4qac_789	30.792549
4qac_791	116.377157
4qac_793	147.631496
4qac_795	180.999123
4qac_800	38.934437
4qac_813	34.49444
4qac_824	29.219677
4qac_828	110.232152
4qac_849	48.48302
4qac_871	45.070217
4qac_875	36.743764
4qac_883	66.336179
4qac_888	37.531321
4qac_893	63.711557
4qac_945	-13.814891
4qac_962	44.168149
4qac_969	27.006385
4qac_975	8.735598
