#code	score
4w9c_ligand	-38.126175
4w9c_172	18.301738
4w9c_186	0.425172
4w9c_249	-13.423813
4w9c_326	2.410684
4w9c_333	-5.409593
4w9c_36	-3.095143
4w9c_363	-5.279338
4w9c_372	-13.633008
4w9c_379	-21.157881
4w9c_381	-21.329514
4w9c_405	98.180081
4w9c_415	98.860151
4w9c_420	38.972685
4w9c_423	84.912648
4w9c_432	60.069933
4w9c_446	57.966955
4w9c_450	100.22877
4w9c_452	36.573252
4w9c_456	139.139466
4w9c_457	92.455743
4w9c_460	115.414648
4w9c_462	36.970168
4w9c_473	101.213607
4w9c_476	112.002091
4w9c_477	127.437517
4w9c_48	7.778301
4w9c_483	105.230993
4w9c_486	44.413969
4w9c_487	53.476385
4w9c_490	98.553694
4w9c_494	59.31848
4w9c_499	122.437507
4w9c_513	32.389332
4w9c_516	84.104851
4w9c_520	-7.402193
4w9c_528	39.349161
4w9c_533	41.218457
4w9c_538	45.697629
4w9c_543	66.910468
4w9c_545	41.639929
4w9c_546	20.507884
4w9c_550	34.04043
4w9c_556	91.983026
4w9c_558	37.390633
4w9c_560	41.161338
4w9c_561	27.639501
4w9c_562	82.994922
4w9c_567	13.780483
4w9c_569	25.286555
4w9c_580	32.843802
4w9c_59	27.527358
4w9c_594	8.609615
4w9c_597	43.005262
4w9c_6	2.62e-4
4w9c_603	49.095301
4w9c_604	45.663903
4w9c_613	121.291887
4w9c_623	63.35535
4w9c_628	32.816733
4w9c_636	77.047531
4w9c_637	62.136468
4w9c_638	70.280147
4w9c_639	95.072631
4w9c_642	40.050673
4w9c_646	73.417703
4w9c_660	52.152794
4w9c_661	69.470584
4w9c_664	101.677513
4w9c_670	63.336601
4w9c_677	24.288922
4w9c_683	35.451735
4w9c_691	117.892596
4w9c_695	70.719075
4w9c_697	15.094025
4w9c_699	53.081981
4w9c_7	5.237718
4w9c_712	-8.417272
4w9c_719	-2.221735
4w9c_720	-9.239726
4w9c_732	-15.062136
4w9c_735	-2.043884
4w9c_739	44.417735
4w9c_758	-6.804145
4w9c_765	-12.622442
4w9c_768	-19.317045
4w9c_772	8.386662
4w9c_777	-3.602289
4w9c_778	17.640969
4w9c_806	19.462754
4w9c_85	-4.302414
4w9c_854	9.835078
4w9c_906	-13.484747
4w9c_925	-12.080195
4w9c_955	-11.125413
4w9c_963	4.994456
4w9c_968	32.388851
