#code	score
1eby_169	82.196168
1eby_211	-12.711038
1eby_217	-26.11353
1eby_218	17.462184
1eby_223	-40.18532
1eby_231	23.273877
1eby_233	1.96379
1eby_237	42.196552
1eby_238	-57.861778
1eby_244	-23.659443
1eby_245	45.642346
1eby_255	33.059156
1eby_259	68.435232
1eby_262	-24.297429
1eby_265	-37.082741
1eby_266	43.270133
1eby_269	13.859896
1eby_271	-9.345347
1eby_279	-11.500648
1eby_294	48.092202
1eby_295	-21.115816
1eby_297	137.632376
1eby_299	-29.124688
1eby_326	-5.415394
1eby_350	18.125965
1eby_361	-39.805772
1eby_364	-44.155439
1eby_372	28.029859
1eby_414	265.846042
1eby_416	237.925065
1eby_444	200.708046
1eby_447	257.892228
1eby_453	273.239621
1eby_456	359.087366
1eby_464	203.822373
1eby_470	350.158011
1eby_472	272.715309
1eby_473	219.567122
1eby_477	309.004599
1eby_481	233.31763
1eby_488	242.855406
1eby_490	389.823246
1eby_493	181.819095
1eby_499	236.610542
1eby_503	105.981057
1eby_507	63.862717
1eby_514	164.443761
1eby_517	120.434038
1eby_519	220.478208
1eby_531	257.854998
1eby_532	227.217775
1eby_535	163.420701
1eby_538	218.994222
1eby_540	216.611895
1eby_548	301.974242
1eby_556	350.288096
1eby_563	209.494938
1eby_569	152.917611
1eby_571	207.033327
1eby_572	111.162415
1eby_573	187.142724
1eby_575	267.409165
1eby_576	263.789561
1eby_580	183.042017
1eby_582	247.095349
1eby_584	322.477001
1eby_595	138.269827
1eby_597	174.220115
1eby_600	149.635969
1eby_634	328.09197
1eby_641	165.466299
1eby_645	266.121047
1eby_647	168.75495
1eby_649	252.266336
1eby_658	188.75231
1eby_659	200.846677
1eby_667	230.954682
1eby_673	257.443597
1eby_688	219.372136
1eby_689	134.862915
1eby_694	236.479612
1eby_731	26.966876
1eby_741	53.534205
1eby_751	118.502158
1eby_763	74.622792
1eby_767	92.180541
1eby_769	43.784402
1eby_770	71.793346
1eby_771	43.999189
1eby_772	76.400271
1eby_773	80.264644
1eby_774	93.02996
1eby_777	45.293351
1eby_779	140.088422
1eby_791	112.957379
1eby_792	115.216032
1eby_803	30.631796
1eby_813	11.008723
1eby_826	119.782178
1eby_848	6.725249
