#code	score
1o5b_19	21.46344
1o5b_200	-7.817546
1o5b_253	16.2398
1o5b_256	76.843174
1o5b_272	13.178148
1o5b_329	-19.714363
1o5b_396	-14.396213
1o5b_400	-15.183215
1o5b_406	6.300408
1o5b_413	15.566325
1o5b_419	7.374945
1o5b_421	-10.129904
1o5b_423	7.947225
1o5b_432	30.686809
1o5b_441	13.854373
1o5b_445	8.315653
1o5b_446	31.224835
1o5b_454	20.128266
1o5b_461	29.252337
1o5b_468	11.095335
1o5b_472	22.761916
1o5b_474	54.077018
1o5b_483	32.542498
1o5b_489	45.762618
1o5b_490	31.062811
1o5b_497	8.375948
1o5b_505	69.786761
1o5b_508	6.062302
1o5b_511	8.148987
1o5b_512	25.185598
1o5b_529	32.557821
1o5b_534	6.010185
1o5b_535	44.93535
1o5b_539	17.645403
1o5b_548	21.807685
1o5b_552	28.328713
1o5b_554	19.323914
1o5b_561	53.953793
1o5b_572	58.805002
1o5b_579	44.039142
1o5b_584	-1.552945
1o5b_592	59.812577
1o5b_595	36.216345
1o5b_625	27.690255
1o5b_628	54.040358
1o5b_638	3.874744
1o5b_653	27.52046
1o5b_654	77.278901
1o5b_663	72.098674
1o5b_664	28.329013
1o5b_665	48.557966
1o5b_681	26.554653
1o5b_699	16.599428
1o5b_722	40.704503
1o5b_723	27.948845
1o5b_724	-4.750504
1o5b_725	47.637405
1o5b_726	52.160395
1o5b_731	57.311915
1o5b_732	54.017762
1o5b_739	47.776887
1o5b_740	42.280997
1o5b_744	35.193128
1o5b_747	40.72811
1o5b_750	34.836862000000004
1o5b_751	24.574203
1o5b_755	31.231553
1o5b_756	58.47823
1o5b_760	24.862907
1o5b_762	32.450542
1o5b_764	51.15137
1o5b_765	48.612859
1o5b_79	48.050914
1o5b_807	41.810117
1o5b_813	49.509346
1o5b_827	35.481788
1o5b_832	74.47532
1o5b_836	13.175898
1o5b_844	36.191501
1o5b_857	54.901889
1o5b_860	37.007346
1o5b_865	33.857418
1o5b_892	26.793401
1o5b_903	70.446834
1o5b_911	52.07482
1o5b_936	28.720147
1o5b_943	37.862985
1o5b_957	21.521181
1o5b_959	45.538387
1o5b_963	25.706147
