#code	score
1pxn_167	-5.343399
1pxn_197	-12.302723
1pxn_211	-10.312612
1pxn_225	-11.215403
1pxn_228	34.243069
1pxn_236	3.219844
1pxn_240	-5.917547
1pxn_246	-11.905481
1pxn_256	-2.8282
1pxn_257	-7.18288
1pxn_266	-3.565358
1pxn_269	26.657112
1pxn_270	-6.155717
1pxn_272	1.316887
1pxn_285	-12.977845
1pxn_288	-4.348293
1pxn_308	182.993522
1pxn_402	8.301969
1pxn_409	24.930852
1pxn_414	43.921328
1pxn_416	27.339795
1pxn_422	53.091117
1pxn_428	23.305742
1pxn_437	35.233993
1pxn_441	50.078419
1pxn_445	36.680964
1pxn_458	41.070247
1pxn_467	41.815792
1pxn_468	22.563722
1pxn_471	38.832926
1pxn_472	55.546675
1pxn_477	48.842321
1pxn_483	28.50454
1pxn_488	34.38005
1pxn_489	27.053286
1pxn_490	44.07275
1pxn_500	74.172839
1pxn_504	17.268865
1pxn_507	50.230675
1pxn_509	27.809946
1pxn_513	54.727871
1pxn_514	39.699396
1pxn_518	14.948259
1pxn_523	28.959016
1pxn_532	60.181537
1pxn_534	24.417596
1pxn_536	60.089391
1pxn_539	79.733436
1pxn_545	48.229793
1pxn_546	24.957643
1pxn_550	-9.021903
1pxn_557	27.86904
1pxn_558	42.449461
1pxn_560	66.842332
1pxn_565	72.961756
1pxn_566	65.892598
1pxn_572	68.416656
1pxn_578	31.656386
1pxn_589	62.129621
1pxn_593	26.420323
1pxn_594	66.483447
1pxn_599	33.058344
1pxn_600	23.81092
1pxn_608	68.703308
1pxn_609	42.330407
1pxn_626	80.038476
1pxn_632	62.796386
1pxn_638	61.015936
1pxn_645	52.741806
1pxn_646	83.381138000000007
1pxn_647	65.713258
1pxn_649	56.738238
1pxn_652	69.070222
1pxn_653	28.50089
1pxn_662	49.022067
1pxn_665	67.462509
1pxn_666	35.038685
1pxn_668	45.187889
1pxn_671	35.398366
1pxn_672	16.368879
1pxn_678	90.937499
1pxn_682	25.380333
1pxn_687	55.045986
1pxn_690	70.333309
1pxn_696	76.135655
1pxn_813	0.767464
1pxn_82	27.232145
1pxn_830	12.800853
1pxn_86	-22.419996
1pxn_945	-5.712867
1pxn_96	-9.701585
