#code	score
1sqa_120	-27.982544
1sqa_145	-25.867787
1sqa_177	-26.984362
1sqa_20	11.281167
1sqa_238	67.913965
1sqa_258	3.141479
1sqa_322	-39.649297
1sqa_357	-40.335698
1sqa_366	-42.875432000000004
1sqa_411	16.321204
1sqa_415	61.303038
1sqa_418	123.001131
1sqa_425	21.520802
1sqa_426	122.872751
1sqa_427	5.974237
1sqa_430	128.096505
1sqa_433	-13.772082
1sqa_436	17.657269
1sqa_442	4.52737
1sqa_445	31.443965
1sqa_448	49.035302
1sqa_449	27.56034
1sqa_458	5.692636
1sqa_473	68.075597
1sqa_474	71.900125
1sqa_475	21.226048
1sqa_476	7.223463
1sqa_479	28.400473
1sqa_481	151.922603
1sqa_486	99.000173
1sqa_490	114.130684
1sqa_496	30.739785
1sqa_499	53.495665
1sqa_517	64.279395
1sqa_524	19.404957
1sqa_526	36.119596
1sqa_530	156.01616
1sqa_531	25.006831
1sqa_532	77.986133
1sqa_537	25.839249
1sqa_539	69.344842
1sqa_543	86.223975
1sqa_547	63.792846
1sqa_548	65.778488
1sqa_549	51.4122
1sqa_556	32.428826
1sqa_557	80.433053
1sqa_560	50.511777
1sqa_573	23.692675
1sqa_575	68.195356
1sqa_581	15.280089
1sqa_588	111.914798
1sqa_589	113.066326
1sqa_597	49.056731
1sqa_610	86.607425
1sqa_620	91.985903
1sqa_635	32.51786
1sqa_637	71.955197
1sqa_638	90.864356
1sqa_643	75.651652
1sqa_644	97.797333
1sqa_650	54.977696
1sqa_654	57.184088
1sqa_662	108.901593
1sqa_668	35.389899
1sqa_669	107.004671
1sqa_672	79.956405
1sqa_679	74.955932
1sqa_682	119.057408
1sqa_687	75.047875
1sqa_692	3.599588
1sqa_693	152.764619
1sqa_696	40.276486
1sqa_747	-20.576116
1sqa_761	-17.548725
1sqa_776	4.646006
1sqa_787	-2.906153
1sqa_788	-9.520045
1sqa_789	0.880381
1sqa_808	4.096174
1sqa_819	46.065572
1sqa_827	-17.043641
1sqa_836	31.496231
1sqa_839	54.317448
1sqa_845	23.193998
1sqa_849	25.89211
1sqa_854	29.953676
1sqa_857	-0.403174
1sqa_860	31.538550999999998
1sqa_867	33.459742
1sqa_870	8.158705
1sqa_88	85.230614
