#code	score
1u1b_124	-1.252183
1u1b_149	-11.826174
1u1b_150	-8.743749
1u1b_154	-9.412282
1u1b_155	-21.792403
1u1b_157	-4.304413
1u1b_160	-0.345411
1u1b_166	-24.518143
1u1b_171	-4.965602
1u1b_172	-12.183169
1u1b_176	-16.913508
1u1b_18	25.714735
1u1b_183	-15.950251
1u1b_191	-9.395497
1u1b_195	3.8299280000000002
1u1b_196	3.911156
1u1b_198	-29.241513
1u1b_2	-4.08752
1u1b_21	27.559205
1u1b_214	67.459183
1u1b_220	47.46621
1u1b_224	-3.517976
1u1b_232	30.547355
1u1b_237	25.098278
1u1b_24	72.168688
1u1b_255	51.896786
1u1b_256	33.180128
1u1b_258	38.947198
1u1b_26	94.778657
1u1b_260	38.247887
1u1b_263	43.235573
1u1b_27	50.743004
1u1b_275	116.520203
1u1b_277	66.402996
1u1b_28	51.100039
1u1b_295	86.828989000000007
1u1b_298	67.222861
1u1b_3	48.628176
1u1b_30	25.64427
1u1b_330	-10.10072
1u1b_331	-14.420401
1u1b_340	-12.937554
1u1b_351	7.765122
1u1b_356	2.89981
1u1b_385	-18.798469
1u1b_388	-2.656169
1u1b_390	-6.355581
1u1b_40	88.860912
1u1b_430	242.885846
1u1b_432	198.824981
1u1b_435	146.793351
1u1b_444	120.490254
1u1b_468	159.469322
1u1b_491	88.921818
1u1b_494	188.431878
1u1b_496	119.753029
1u1b_50	54.73447
1u1b_507	96.803248
1u1b_55	24.728463
1u1b_553	102.886462
1u1b_558	154.585154
1u1b_569	66.682531
1u1b_571	47.17548
1u1b_578	52.611072
1u1b_588	107.964289
1u1b_644	83.308809
1u1b_658	128.303869
1u1b_678	90.526519
1u1b_694	84.148358
1u1b_765	32.112592
1u1b_768	53.349783
1u1b_769	46.090567
1u1b_79	35.924481
1u1b_8	12.761972
1u1b_826	49.502674
1u1b_834	21.815364
1u1b_86	43.966652
1u1b_919	24.390725
1u1b_929	22.735325
1u1b_933	35.811763
1u1b_95	30.728691
1u1b_97	45.522378
