#code	score
1vso_115	-8.530277
1vso_174	-9.999727
1vso_198	-11.03809
1vso_214	8.303914
1vso_219	53.171225
1vso_243	-9.97868
1vso_254	3.818818
1vso_273	-3.483926
1vso_301	-20.139027
1vso_310	-12.845187
1vso_358	-5.770992
1vso_363	-19.357149
1vso_378	8.360403
1vso_379	34.525941
1vso_392	-10.045637
1vso_401	49.283063
1vso_407	68.582644
1vso_424	70.348497
1vso_433	82.171517
1vso_436	114.450727
1vso_439	77.193834
1vso_444	42.19466
1vso_445	73.591027
1vso_449	40.776373
1vso_461	72.443173
1vso_470	79.257223
1vso_487	87.184754
1vso_493	88.760745
1vso_494	76.845452
1vso_496	81.622443
1vso_497	60.515319
1vso_501	49.255722
1vso_516	83.637479
1vso_522	132.895056
1vso_545	96.455145
1vso_547	147.425243
1vso_549	43.115506
1vso_557	67.175012
1vso_558	77.46836
1vso_571	74.312404
1vso_573	73.844873
1vso_575	80.482425
1vso_577	56.476227
1vso_579	84.94979
1vso_580	119.614824
1vso_581	74.848265
1vso_585	57.863129
1vso_596	69.362582
1vso_597	37.755741
1vso_609	49.57828
1vso_617	26.794121
1vso_618	111.878945
1vso_624	79.599026
1vso_630	128.937773
1vso_631	119.000177
1vso_636	77.012155
1vso_642	74.032337
1vso_644	91.462214
1vso_677	102.230567
1vso_685	152.722954
1vso_732	44.498285
1vso_74	1.516483
1vso_753	108.599781
1vso_838	34.98929
1vso_840	64.136489
1vso_850	17.241125
1vso_910	-8.75175
1vso_954	5.238435
1vso_957	-11.770874
1vso_963	28.890215
1vso_978	7.34908
