#code	score
2hb1_102	4.3832700000000004
2hb1_134	-4.462631
2hb1_148	0.051303
2hb1_149	8.370091
2hb1_167	2.581014
2hb1_175	-5.226803
2hb1_313	-9.953962
2hb1_330	-0.486432
2hb1_376	4.38864
2hb1_408	20.780297
2hb1_417	42.451906
2hb1_424	87.823819
2hb1_427	58.601024
2hb1_438	93.301437
2hb1_440	64.427475
2hb1_447	80.912837
2hb1_448	78.686301
2hb1_457	26.896997
2hb1_463	107.959035
2hb1_477	21.625753
2hb1_480	60.606971
2hb1_485	72.707304
2hb1_495	64.985555
2hb1_504	35.801801
2hb1_559	57.396181
2hb1_562	32.452211
2hb1_573	63.886048
2hb1_574	64.67409
2hb1_613	49.426622
2hb1_640	20.591118
2hb1_642	20.89236
2hb1_664	14.007412
2hb1_666	30.106685
2hb1_675	53.179902
2hb1_689	36.479718
2hb1_690	34.620186
2hb1_695	42.472312
2hb1_763	30.579634
2hb1_772	3.773899
2hb1_785	31.35888
2hb1_981	22.273528
