#code	score
2xbv_103	13.249998
2xbv_109	39.333847
2xbv_114	-6.928287
2xbv_119	54.202175
2xbv_124	9.20919
2xbv_136	81.59393
2xbv_137	1.394303
2xbv_144	8.642514
2xbv_154	93.530807
2xbv_157	74.380028
2xbv_164	50.487885
2xbv_167	-1.136149
2xbv_184	-23.365256
2xbv_195	-18.142745
2xbv_198	-14.034469
2xbv_199	-53.53653
2xbv_203	1.674207
2xbv_226	3.50673
2xbv_23	36.70232
2xbv_267	8.124192
2xbv_277	33.824438
2xbv_293	32.861991
2xbv_302	-34.759511
2xbv_304	55.915045
2xbv_309	-0.590449
2xbv_310	25.236409
2xbv_316	32.486932
2xbv_317	-48.170119
2xbv_336	-3.806885
2xbv_340	9.879738
2xbv_344	1.432672
2xbv_347	-2.586309
2xbv_353	-0.835122
2xbv_355	5.977971
2xbv_364	31.903835
2xbv_378	-38.275308
2xbv_385	37.591478
2xbv_386	49.173366
2xbv_389	-0.635563
2xbv_391	73.442467
2xbv_392	-21.493754
2xbv_397	-17.967096
2xbv_399	20.693465
2xbv_401	162.75663
2xbv_434	113.480957
2xbv_435	207.479494
2xbv_444	136.97173
2xbv_463	145.358727
2xbv_475	136.542822
2xbv_477	121.355298
2xbv_52	34.801974
2xbv_532	75.145729
2xbv_559	79.747857
2xbv_565	159.456196
2xbv_746	70.553446
2xbv_747	55.828143
2xbv_752	39.507119
2xbv_753	30.563107
2xbv_754	49.0508
2xbv_756	43.486372
2xbv_761	116.847309
2xbv_762	71.81554
2xbv_766	15.44341
2xbv_769	78.846314
2xbv_770	22.495459
2xbv_771	90.69984
2xbv_773	88.434422
2xbv_777	76.618674
2xbv_779	47.291863
2xbv_780	97.71532
2xbv_782	36.545693
2xbv_784	126.991932
2xbv_8	52.910341
2xbv_825	10.855088
2xbv_855	36.207492
2xbv_866	30.061334
2xbv_880	39.877051
2xbv_883	42.948856
2xbv_884	61.878217
2xbv_984	43.907138
