#code	score
3ary_100	13.849962
3ary_147	75.323409
3ary_154	85.586389
3ary_162	45.319888
3ary_187	54.240673
3ary_195	62.981077
3ary_206	64.865681
3ary_208	79.678791
3ary_222	48.881292
3ary_230	119.748233
3ary_237	101.459042
3ary_240	57.336138
3ary_244	90.744571
3ary_252	93.488557
3ary_255	60.985654
3ary_276	80.651334
3ary_286	106.855309
3ary_290	62.358648
3ary_292	91.43283
3ary_298	93.239528
3ary_302	42.566031
3ary_304	27.975618
3ary_311	-3.014838
3ary_317	39.322374
3ary_383	5.263096
3ary_418	62.77475
3ary_466	45.767533
3ary_487	64.284191
3ary_499	74.073567
3ary_503	28.607821
3ary_513	54.358504
3ary_515	90.906961
3ary_540	81.585801
3ary_547	61.083714
3ary_548	64.26887
3ary_556	84.746646
3ary_558	102.986238
3ary_561	92.856316
3ary_580	24.71943
3ary_627	114.659088
3ary_648	84.055428
3ary_650	85.749943
3ary_663	51.199555
3ary_687	100.469679
3ary_702	104.340377
3ary_71	8.569789
3ary_723	131.335379
3ary_727	61.398197
3ary_729	68.939566
3ary_730	79.116785
3ary_731	96.250929
3ary_735	118.021339
3ary_736	62.223902
3ary_739	129.845709
3ary_740	74.106948
3ary_744	70.040847
3ary_750	65.196211
3ary_751	102.251293
3ary_754	36.120894
3ary_762	109.878799
3ary_763	119.32293
3ary_765	25.869552
3ary_770	109.235799
3ary_772	90.3974
3ary_773	50.929908
3ary_774	64.590628
3ary_775	40.584285
3ary_778	26.112675
3ary_797	113.266205
3ary_799	83.612719
3ary_801	73.038497
3ary_805	93.510799
3ary_826	89.337147
3ary_828	81.030899
3ary_832	80.612273
3ary_837	68.591684
3ary_844	105.063027
3ary_850	100.735002
3ary_858	87.850698
3ary_861	76.549416
3ary_864	75.072145
3ary_866	70.386627
3ary_880	34.767954
3ary_884	65.263295
3ary_943	87.991363
3ary_953	55.557311
3ary_968	112.575331
3ary_976	132.918023
3ary_979	75.144478
3ary_981	67.857636
