#code	score
3d6q_117	5.212279
3d6q_123	9.343246
3d6q_132	21.516961
3d6q_140	24.037006
3d6q_163	23.741554
3d6q_207	10.857412
3d6q_23	-1.997258
3d6q_248	6.065826
3d6q_250	19.745904
3d6q_259	41.438967
3d6q_276	-0.526057
3d6q_289	23.906838
3d6q_299	35.404162
3d6q_312	4.554555
3d6q_313	7.10162
3d6q_320	11.715826
3d6q_321	12.451879
3d6q_338	-5.256896
3d6q_357	25.704228
3d6q_367	20.821088
3d6q_373	17.50991
3d6q_404	35.727027
3d6q_420	-13.706825
3d6q_433	14.327261
3d6q_451	4.696237
3d6q_454	18.730234
3d6q_46	9.052702
3d6q_491	34.715693
3d6q_498	7.441547
3d6q_50	9.108281
3d6q_500	37.245864
3d6q_528	19.421192
3d6q_539	79.693024
3d6q_546	44.975474
3d6q_551	23.901064
3d6q_563	70.908515
3d6q_574	64.912495
3d6q_581	83.451625
3d6q_586	30.853237
3d6q_592	30.345055
3d6q_610	83.014907
3d6q_614	63.85481
3d6q_624	33.049444
3d6q_654	33.46689
3d6q_665	30.836858
3d6q_671	53.252439
3d6q_674	22.607272
3d6q_679	86.71226
3d6q_691	10.087583
3d6q_698	73.063265
3d6q_708	-11.000717
3d6q_710	-2.337052
3d6q_718	-14.405271
3d6q_724	33.222503
3d6q_726	61.039145
3d6q_729	17.217871
3d6q_738	24.282778
3d6q_750	33.337523
3d6q_753	14.991927
3d6q_754	-14.624062
3d6q_755	45.383609
3d6q_756	48.37184
3d6q_760	20.845442
3d6q_776	16.085042
3d6q_782	23.294761
3d6q_80	-4.565349
3d6q_809	11.689974
3d6q_810	5.564094
3d6q_821	15.633657
3d6q_822	40.340526
3d6q_837	29.876279
3d6q_839	35.028409
3d6q_915	46.444147
3d6q_953	12.339284
3d6q_98	11.528268
