#code	score
3jya_125	7.732382
3jya_179	19.817258
3jya_20	-3.484909
3jya_238	2.503029
3jya_285	7.872058
3jya_315	-0.911035
3jya_324	-5.011148
3jya_402	45.394363
3jya_403	18.898505
3jya_405	17.071839
3jya_408	9.145831
3jya_413	1.787554
3jya_418	8.726687
3jya_420	-0.896244
3jya_425	8.937916
3jya_428	-1.502127
3jya_435	-8.641339
3jya_440	16.02304
3jya_449	11.270464
3jya_455	1.723894
3jya_457	26.780749
3jya_459	-1.984749
3jya_469	5.809241
3jya_470	-7.371354
3jya_471	36.802092
3jya_472	17.953225
3jya_475	36.906643
3jya_481	-11.107496
3jya_490	7.268433
3jya_494	25.466316
3jya_506	-5.209271
3jya_508	8.909511
3jya_518	-1.941725
3jya_531	8.530684
3jya_538	2.07185
3jya_544	0.599496
3jya_553	0.143073
3jya_570	-2.342737
3jya_572	0.054473
3jya_584	-4.418692
3jya_594	18.670831
3jya_647	36.758702
3jya_649	18.34804
3jya_690	33.686805
3jya_700	34.744477
3jya_712	24.099545
3jya_730	28.967434
3jya_734	60.621363
3jya_735	37.473331
3jya_736	47.647775
3jya_741	42.977425
3jya_742	15.562326
3jya_744	29.112955
3jya_748	10.508765
3jya_750	8.501315
3jya_752	15.699296
3jya_755	10.419047
3jya_756	21.628618
3jya_758	11.013894
3jya_761	9.229137
3jya_764	11.023288
3jya_765	6.721833
3jya_766	4.284426
3jya_767	3.81287
3jya_771	5.953884
3jya_772	0.598637
3jya_774	-0.24611
3jya_775	4.883855
3jya_776	24.259232
3jya_780	56.935582
3jya_782	76.256894
3jya_783	127.630521
3jya_786	132.596448
3jya_787	127.559152
3jya_788	181.265609
3jya_791	164.872638
3jya_793	198.071468
3jya_795	112.744754
3jya_796	152.536465
3jya_797	167.041525
3jya_798	204.441602
3jya_799	211.346566
3jya_865	-4.011422
3jya_890	57.895552
3jya_898	11.928892
