#code	score
3pww_152	18.335323
3pww_200	54.280575
3pww_236	9.386728
3pww_256	-23.577827
3pww_269	22.166653
3pww_280	1.588171
3pww_312	23.365032
3pww_320	3.405508
3pww_322	42.394724
3pww_324	25.084185
3pww_342	26.735734
3pww_343	40.537502
3pww_364	28.074072
3pww_394	-32.544015
3pww_401	211.825302
3pww_404	175.388085
3pww_405	242.853609
3pww_410	138.176519
3pww_411	197.940842
3pww_416	257.245001
3pww_417	168.120623
3pww_420	142.999933
3pww_421	245.824367
3pww_425	138.805825
3pww_439	116.987042
3pww_440	241.793731
3pww_449	200.693906
3pww_452	203.827359
3pww_461	139.355793
3pww_463	207.8824
3pww_466	155.406018
3pww_468	219.535731
3pww_478	238.667624
3pww_482	177.444925
3pww_484	238.003615
3pww_487	184.282517
3pww_489	182.904469
3pww_494	131.832311
3pww_501	131.515216
3pww_516	136.863931
3pww_541	152.477654
3pww_545	269.164395
3pww_549	127.313124
3pww_552	183.842457
3pww_560	191.560079
3pww_561	220.359883
3pww_565	89.969054
3pww_570	139.693351
3pww_571	59.701733
3pww_574	195.937459
3pww_575	243.677246
3pww_581	105.651178
3pww_584	87.551147
3pww_605	140.669731
3pww_631	90.557849
3pww_635	173.108235
3pww_654	178.044661
3pww_658	183.166345
3pww_667	91.412588
3pww_671	129.142486
3pww_678	109.784278
3pww_685	214.872125
3pww_708	13.019942
3pww_730	-4.333037
3pww_742	43.667946
3pww_747	15.090489
3pww_749	61.652152
3pww_753	14.401537
3pww_757	55.994269
3pww_762	64.350962
3pww_765	117.583761
3pww_767	38.838411
3pww_772	75.21097
3pww_779	97.437099
3pww_780	88.777669
3pww_783	94.777612
3pww_793	28.366859
3pww_816	9.801986
3pww_822	68.020918
3pww_846	24.212099
3pww_854	72.141685
3pww_859	49.080954
3pww_862	57.623678
3pww_867	46.565963000000004
3pww_874	62.5914
3pww_885	39.459723
3pww_888	8.72149
3pww_889	6.390419
3pww_90	26.666691
3pww_958	90.749329
3pww_982	61.609188
