#code	score
3uew_161	10.566324
3uew_211	6.920626
3uew_224	-1.627847
3uew_229	-2.585326
3uew_243	-7.777484
3uew_249	-0.706627
3uew_255	-28.302188
3uew_281	-12.350653
3uew_282	-33.194729
3uew_290	-21.308893
3uew_352	-22.100959
3uew_404	7.72952
3uew_409	6.257036
3uew_415	66.518052
3uew_423	49.972379
3uew_431	17.352774
3uew_433	18.224938
3uew_436	17.571454
3uew_439	-1.605437
3uew_444	28.449653
3uew_446	9.592991
3uew_450	41.794427
3uew_451	24.67627
3uew_454	-0.81482
3uew_456	47.42344
3uew_458	68.723804
3uew_467	30.680056
3uew_471	41.693877
3uew_474	37.333754
3uew_475	17.996461
3uew_477	23.88279
3uew_481	28.028285
3uew_482	40.327779
3uew_484	19.670428
3uew_487	25.73742
3uew_488	29.42015
3uew_489	17.608395
3uew_493	52.078431
3uew_495	51.42108
3uew_508	24.905875
3uew_515	77.187745
3uew_520	34.518377
3uew_533	22.773003
3uew_537	15.481444
3uew_545	14.518075
3uew_555	20.253487
3uew_558	39.642818
3uew_564	48.510909
3uew_566	29.162294
3uew_575	29.272205
3uew_582	22.706783
3uew_583	31.438054
3uew_587	2.888884
3uew_588	19.13842
3uew_595	40.394786
3uew_603	61.771958
3uew_612	76.554674
3uew_613	13.341541
3uew_624	21.793684
3uew_644	48.134119
3uew_649	52.490655
3uew_65	-25.082151
3uew_663	67.036752
3uew_664	52.263878
3uew_666	40.608382
3uew_670	68.341006
3uew_672	14.984853
3uew_675	53.282687
3uew_681	36.674848
3uew_686	27.847252
3uew_697	42.324729
3uew_7	-6.532891
3uew_700	15.252045
3uew_735	17.972567
3uew_740	0.349949
3uew_751	17.65524
3uew_757	1.533063
3uew_759	17.244114
3uew_780	-9.904654
3uew_787	-3.236096
3uew_790	14.055669
3uew_803	9.857256
3uew_844	8.489895
3uew_880	16.43868
3uew_919	90.430402
