#code	score
4cra_102	8.129613
4cra_113	22.426715
4cra_119	15.108485
4cra_124	39.643448
4cra_126	-4.390425
4cra_130	14.189574
4cra_151	35.634014
4cra_155	-26.852756
4cra_175	-8.243726
4cra_201	44.987395
4cra_204	9.743074
4cra_214	45.119394
4cra_219	98.273622
4cra_224	9.423477
4cra_230	9.75449
4cra_24	3.147357
4cra_240	58.55014
4cra_250	67.810373
4cra_258	20.394721
4cra_270	-8.178308
4cra_276	21.658539
4cra_281	3.877398
4cra_283	13.754796
4cra_292	-2.318487
4cra_296	60.708124
4cra_302	23.55143
4cra_307	25.6891
4cra_318	-37.709941
4cra_354	3.085025
4cra_358	-0.935377
4cra_364	-43.348246
4cra_375	22.130362
4cra_378	0.485219
4cra_383	47.728537
4cra_4	-13.233236
4cra_413	221.66195
4cra_422	127.321278
4cra_439	247.651493
4cra_441	62.656209
4cra_444	125.905906
4cra_448	202.829184
4cra_456	177.380207
4cra_470	135.12192
4cra_472	70.074898
4cra_477	140.462813
4cra_479	165.616401
4cra_496	80.771408
4cra_504	103.418001
4cra_523	65.247859
4cra_525	83.265908
4cra_533	79.554562
4cra_538	129.235167
4cra_540	53.101501
4cra_541	138.636747
4cra_547	111.889796
4cra_548	59.717123
4cra_549	89.249141
4cra_564	49.182488
4cra_566	109.115814
4cra_569	100.001041
4cra_572	109.202602
4cra_576	160.036033
4cra_578	76.257422
4cra_579	107.182882
4cra_580	119.367112
4cra_584	93.642828
4cra_589	133.141033
4cra_590	144.755395
4cra_591	53.698478
4cra_595	75.605523
4cra_596	111.198947
4cra_604	93.618497
4cra_61	13.491262
4cra_610	77.971178
4cra_624	157.482943
4cra_636	147.509178
4cra_644	68.491463
4cra_656	182.987686
4cra_658	118.601839
4cra_680	250.945709
4cra_689	67.709618
4cra_695	89.397841
4cra_716	55.985295
4cra_719	3.887899
4cra_720	65.414971
4cra_748	94.668831
4cra_795	46.393913
4cra_81	48.26099
4cra_827	37.750611
4cra_828	55.570339
4cra_830	29.256919
4cra_855	90.683612
4cra_861	83.644549
4cra_893	119.304711
4cra_905	79.874044
4cra_918	132.204386
4cra_941	92.141532
4cra_953	120.192351
4cra_967	77.165534
4cra_972	33.219813
