#code	score
4e5w_109	42.724552
4e5w_121	-54.41295
4e5w_13	3.7893
4e5w_141	25.257267
4e5w_151	60.358354
4e5w_17	1.957173
4e5w_174	-35.619901
4e5w_202	-41.38145
4e5w_24	12.470522
4e5w_247	-48.416225
4e5w_286	-49.556886
4e5w_3	-1.296383
4e5w_310	-23.557267
4e5w_320	-3.147806
4e5w_336	57.438476
4e5w_344	-20.213407
4e5w_360	26.306041
4e5w_367	2.848075
4e5w_384	-10.597726
4e5w_4	10.888989
4e5w_406	90.868009
4e5w_416	129.199087
4e5w_436	79.965773
4e5w_441	128.126078
4e5w_442	117.777715
4e5w_444	44.251249
4e5w_445	76.498281
4e5w_447	29.193591
4e5w_448	91.398084
4e5w_451	95.834103
4e5w_452	116.857213
4e5w_453	107.059628
4e5w_457	104.945169
4e5w_464	90.326393
4e5w_469	68.343057
4e5w_47	42.634579
4e5w_476	115.221204
4e5w_479	76.237624
4e5w_483	135.919594
4e5w_484	130.481465
4e5w_486	125.173635
4e5w_489	87.817435
4e5w_508	96.832519
4e5w_518	68.315012
4e5w_52	-16.434033
4e5w_526	162.069147
4e5w_528	42.401113
4e5w_531	84.555883
4e5w_536	80.762619
4e5w_542	64.129781
4e5w_543	108.377781
4e5w_549	44.189801
4e5w_552	116.936134
4e5w_553	71.67866
4e5w_560	83.077297
4e5w_563	77.88747
4e5w_575	38.090883
4e5w_577	105.136384
4e5w_579	130.352689
4e5w_58	4.170457
4e5w_583	146.982504
4e5w_585	38.761824
4e5w_586	67.686625
4e5w_590	49.143806
4e5w_592	152.835947
4e5w_593	52.007551
4e5w_597	117.365514
4e5w_599	62.389229
4e5w_606	102.901347
4e5w_617	100.024342
4e5w_631	132.836816
4e5w_639	117.032821
4e5w_641	224.789318
4e5w_647	24.432274
4e5w_652	116.767722
4e5w_658	63.790699
4e5w_659	118.820733
4e5w_663	107.020983
4e5w_664	36.562926
4e5w_668	107.344605
4e5w_673	78.823225
4e5w_675	84.852422
4e5w_676	40.128632
4e5w_679	128.163925
4e5w_682	109.25682
4e5w_684	67.960858
4e5w_694	43.34998
4e5w_698	132.774159
4e5w_699	98.539457
4e5w_7	-0.964664
4e5w_76	-9.802746
4e5w_779	1.702125
4e5w_789	62.529326
4e5w_803	54.34029
4e5w_808	49.592628
4e5w_821	56.980577
4e5w_883	-35.326367
4e5w_905	15.257603
4e5w_91	-17.034302
4e5w_96	-29.789707
