#code	score
4j28_110	-22.084232
4j28_123	-16.087589
4j28_154	-23.900504
4j28_173	-25.503173
4j28_183	-26.525119
4j28_196	-21.840655
4j28_208	21.798034
4j28_215	93.366211
4j28_227	69.976913
4j28_265	49.44717
4j28_300	43.281456
4j28_303	-35.111233
4j28_313	-37.128098
4j28_406	38.128486
4j28_410	52.563392
4j28_42	-23.357948
4j28_425	20.46164
4j28_429	60.905392
4j28_437	56.115546
4j28_439	18.523737
4j28_451	26.264168
4j28_457	47.917351
4j28_458	33.307786
4j28_494	58.281324
4j28_534	35.851111
4j28_536	23.090059
4j28_543	51.784553
4j28_555	37.753744
4j28_562	32.483808
4j28_566	13.608372
4j28_574	70.591066
4j28_579	10.426394
4j28_580	49.723598
4j28_583	1.143093
4j28_587	21.221109
4j28_593	46.267793
4j28_600	15.432162
4j28_646	90.144409
4j28_657	24.783167
4j28_661	52.328594
4j28_691	93.151282
4j28_692	4.338253
4j28_732	40.392505
4j28_737	14.274549
4j28_743	87.09709
4j28_744	27.66569
4j28_753	14.724254
4j28_758	55.626774
4j28_772	44.482925
4j28_775	14.393836
4j28_785	19.832187
4j28_790	53.096347
4j28_792	106.651556
4j28_794	-14.113252
4j28_828	51.614538
4j28_829	78.613481
4j28_846	39.055931
4j28_852	-7.169307
4j28_858	55.346895
4j28_863	33.404239
4j28_864	22.115481
4j28_866	53.709878
4j28_867	40.061276
4j28_877	119.087118
4j28_899	2.648039
4j28_912	5.166924
4j28_944	50.499722
4j28_961	20.80249
4j28_981	59.913754
4j28_988	88.206757
