#code	score
4kzu_112	-11.79978
4kzu_206	-23.867799
4kzu_256	12.072583
4kzu_286	-16.808706
4kzu_411	7.028032
4kzu_422	41.373137
4kzu_424	16.436933
4kzu_426	12.51433
4kzu_429	44.768233
4kzu_432	29.26959
4kzu_439	29.639552
4kzu_455	43.731446
4kzu_468	53.695224
4kzu_472	49.758256
4kzu_474	42.491266
4kzu_481	45.324821
4kzu_483	37.021097
4kzu_491	86.714594
4kzu_492	60.279963
4kzu_497	71.980097
4kzu_499	59.480515
4kzu_5	-10.577929
4kzu_504	-7.493251
4kzu_524	19.288804
4kzu_537	-16.749839
4kzu_548	27.629794
4kzu_549	72.01783
4kzu_552	18.529172
4kzu_553	13.206172
4kzu_559	20.286217
4kzu_565	61.017899
4kzu_569	5.273225
4kzu_570	48.028778
4kzu_571	37.217898
4kzu_574	45.014278
4kzu_575	9.430329
4kzu_577	81.095431
4kzu_578	57.632421
4kzu_582	30.057099
4kzu_592	83.146678
4kzu_593	22.903075
4kzu_594	67.984825
4kzu_599	65.430599
4kzu_601	2.639567
4kzu_610	-4.898434
4kzu_618	7.034115
4kzu_619	17.965729
4kzu_641	63.953195
4kzu_660	17.534779
4kzu_661	18.792448
4kzu_662	71.492671
4kzu_663	9.010611
4kzu_668	48.148022
4kzu_669	21.366531
4kzu_675	50.64595
4kzu_678	13.562927
4kzu_680	66.923875
4kzu_682	86.38422
4kzu_690	12.785827
4kzu_696	81.525983
4kzu_700	28.464877
4kzu_708	59.708108
4kzu_709	32.13638
4kzu_710	6.239882
4kzu_712	4.321277
4kzu_735	36.608624
4kzu_738	12.090375
4kzu_740	-10.316825
4kzu_741	-4.035593
4kzu_747	-9.896713
4kzu_752	9.356899
4kzu_753	1.462476
4kzu_755	2.547615
4kzu_757	13.455725
4kzu_761	-0.341602
4kzu_762	1.115911
4kzu_775	5.408674
4kzu_776	47.267992
4kzu_777	-3.160191
4kzu_786	3.627653
4kzu_789	50.05418
4kzu_800	17.476197
4kzu_847	20.14198
4kzu_856	20.496702
4kzu_857	24.557071
4kzu_861	9.023502
4kzu_863	14.928628
4kzu_865	-7.393414
4kzu_867	9.651243
4kzu_872	-1.924935
4kzu_877	7.319986
4kzu_878	29.020839
4kzu_883	23.600017
4kzu_889	14.775062
4kzu_907	91.30458
4kzu_909	18.317295
4kzu_924	-7.136396
4kzu_932	8.770428
4kzu_956	2.153203
4kzu_961	12.495302
