#code	score
4m0y_214	-9.445976
4m0y_224	31.533147
4m0y_232	-20.323705
4m0y_252	43.98232
4m0y_336	-6.752376
4m0y_407	70.135536
4m0y_410	76.889318
4m0y_416	43.589477
4m0y_426	71.778234
4m0y_448	64.806002
4m0y_461	87.959606
4m0y_467	76.577021
4m0y_476	71.56897
4m0y_485	35.116782
4m0y_488	41.354116
4m0y_493	62.416748
4m0y_509	52.30953
4m0y_512	49.560012
4m0y_513	22.360416
4m0y_514	39.020558
4m0y_524	57.21263
4m0y_525	68.206466
4m0y_532	27.695544
4m0y_534	46.432693
4m0y_537	55.725921
4m0y_544	43.075745
4m0y_545	42.357533
4m0y_546	27.996298
4m0y_547	80.201729
4m0y_549	10.670216
4m0y_558	45.821856
4m0y_561	46.827067
4m0y_567	92.35707
4m0y_570	57.610839
4m0y_574	40.275848
4m0y_586	15.791326
4m0y_589	9.987615
4m0y_591	39.816335
4m0y_592	85.370039
4m0y_598	25.681458
4m0y_601	39.518272
4m0y_610	28.094629
4m0y_619	54.744486
4m0y_631	65.307929
4m0y_646	59.941229
4m0y_655	27.142181
4m0y_659	61.924524
4m0y_662	82.87712
4m0y_669	96.980973
4m0y_682	55.470219
4m0y_684	94.924535
4m0y_686	55.953594
4m0y_697	35.218653
4m0y_739	25.787829
4m0y_740	11.103791
4m0y_743	46.881272
4m0y_748	33.721819000000004
4m0y_750	34.170494
4m0y_752	5.584939
4m0y_753	7.466489
4m0y_756	2.773326
4m0y_757	5.522051
4m0y_758	-3.415603
4m0y_759	4.166599
4m0y_767	32.936822
4m0y_814	5.849957
4m0y_822	12.756265
4m0y_827	12.028817
4m0y_839	5.421771
4m0y_846	18.230008
4m0y_856	3.37286
4m0y_863	3.234921
4m0y_873	0.060545
4m0y_883	18.196891
4m0y_907	8.420492
4m0y_920	6.139182
4m0y_922	15.172947
4m0y_923	18.607313
4m0y_951	30.555624
4m0y_952	8.901355
