#code	score
2fxs_ligand	0.770564
2fxs_120	53.888255
2fxs_142	20.882422
2fxs_153	12.37262
2fxs_163	20.08672
2fxs_241	110.565727
2fxs_251	75.290542
2fxs_266	82.102416
2fxs_336	13.08074
2fxs_345	1.704622
2fxs_397	57.415479
2fxs_41	3.026799
2fxs_453	150.179292
2fxs_49	7.610518
2fxs_491	186.273242
2fxs_507	151.2613
2fxs_521	85.433711
2fxs_552	90.227606
2fxs_559	114.912301
2fxs_564	78.314606
2fxs_576	141.741408
2fxs_584	55.160705
2fxs_597	126.146515
2fxs_608	38.109046
2fxs_632	148.937667
2fxs_636	75.421364
2fxs_643	68.304391
2fxs_67	-4.036595
2fxs_678	178.579951
2fxs_693	133.240338
2fxs_697	26.93119
2fxs_701	88.034642
2fxs_704	39.344966
2fxs_706	40.548095000000004
2fxs_730	100.696783
2fxs_745	8.468333
2fxs_747	106.407056
2fxs_750	25.868255
2fxs_751	34.803687
2fxs_753	38.552832
2fxs_754	73.909144
2fxs_760	47.645519
2fxs_763	18.142796
2fxs_764	43.161338
2fxs_769	58.527338
2fxs_770	44.28814
2fxs_774	94.274284
2fxs_775	60.276199
2fxs_777	65.932473
2fxs_779	46.547369
2fxs_789	70.33366
2fxs_815	52.666879
2fxs_827	30.162914
2fxs_861	68.349579
2fxs_864	142.319329
2fxs_869	76.093062
2fxs_876	85.167957
2fxs_879	75.658629
2fxs_889	42.438039
2fxs_896	169.660517
2fxs_905	54.579167
2fxs_910	85.137406
2fxs_921	64.583422
2fxs_927	31.218451
2fxs_939	71.997494
2fxs_941	29.322324
2fxs_953	24.262207
