#code	score
2wtv_ligand	-42.457505
2wtv_105	-20.312137
2wtv_108	-38.701402
2wtv_118	-28.959642
2wtv_133	-13.602047
2wtv_143	-7.869791
2wtv_144	12.262059
2wtv_152	-12.854213
2wtv_157	-3.64903
2wtv_159	21.780196
2wtv_174	-29.785036
2wtv_196	-0.014733
2wtv_20	80.696718
2wtv_237	62.611133
2wtv_24	66.921169
2wtv_240	23.348008
2wtv_250	85.040549
2wtv_255	30.277374
2wtv_260	44.775224
2wtv_289	115.271741
2wtv_296	62.730307
2wtv_317	-0.007928
2wtv_32	58.025467
2wtv_320	-46.941871
2wtv_328	-0.441583
2wtv_333	-11.004581
2wtv_357	-29.953464
2wtv_376	-10.442424
2wtv_38	59.88612
2wtv_39	74.502524
2wtv_401	49.041262
2wtv_411	104.793463
2wtv_415	128.8218
2wtv_421	142.071352
2wtv_427	128.826363
2wtv_432	130.385997
2wtv_436	112.397962
2wtv_437	82.471469
2wtv_455	115.379521
2wtv_459	90.081397
2wtv_460	136.93403
2wtv_470	124.739477
2wtv_477	141.807374
2wtv_481	96.297054
2wtv_483	151.518158
2wtv_486	159.248885
2wtv_487	133.543489
2wtv_489	119.592309
2wtv_498	95.50898
2wtv_499	112.17122
2wtv_502	50.816523
2wtv_506	22.871284
2wtv_509	44.968321
2wtv_533	63.840373
2wtv_534	102.125838
2wtv_541	32.897141
2wtv_544	67.558923
2wtv_547	48.231607
2wtv_548	47.492979
2wtv_55	28.924287
2wtv_551	71.229638
2wtv_557	43.419671
2wtv_558	94.712243
2wtv_561	67.305261
2wtv_570	50.227935
2wtv_575	47.761888
2wtv_576	103.18819
2wtv_579	61.422531
2wtv_581	132.915794
2wtv_584	100.19241
2wtv_585	56.480615
2wtv_590	55.438557
2wtv_591	85.703617
2wtv_595	53.813549
2wtv_596	84.396602
2wtv_602	91.04109
2wtv_604	124.346748
2wtv_608	77.309584
2wtv_611	51.167376
2wtv_612	98.112148
2wtv_615	54.115469
2wtv_624	51.117386
2wtv_631	88.105333
2wtv_637	75.868185
2wtv_644	125.175413
2wtv_670	101.97353
2wtv_674	88.238125
2wtv_675	154.29758
2wtv_676	134.964886
2wtv_689	81.491896
2wtv_691	92.841334
2wtv_697	105.311432
2wtv_737	39.028267
2wtv_78	82.369449
2wtv_799	46.872591
2wtv_801	57.389209
2wtv_804	77.768103
2wtv_83	56.342654
2wtv_84	69.30073
2wtv_90	83.055938
2wtv_98	50.304453
