#code	score
2zda_ligand	-58.27302
2zda_101	38.21806
2zda_108	-15.634981
2zda_116	2.52498
2zda_132	64.180901
2zda_142	-28.517923
2zda_156	43.338848
2zda_157	12.88537
2zda_167	14.941207
2zda_170	0.166333
2zda_174	18.791691
2zda_182	42.806185
2zda_192	23.020693
2zda_196	41.124048
2zda_2	-50.938008
2zda_205	-8.920208
2zda_212	51.916993
2zda_218	10.235085
2zda_224	45.866355
2zda_23	-30.573487
2zda_232	-23.848915
2zda_255	94.075704
2zda_259	87.787234
2zda_262	33.298039
2zda_264	-10.39118
2zda_266	58.306171
2zda_27	29.126378
2zda_270	38.761301
2zda_272	-19.01844
2zda_274	76.187708
2zda_277	-35.887749
2zda_289	82.448827
2zda_29	-45.887674
2zda_295	86.381084
2zda_299	-31.648509
2zda_302	19.530769
2zda_311	33.236493
2zda_338	37.60566
2zda_345	46.583649
2zda_379	9.673904
2zda_382	-2.91816
2zda_391	24.14816
2zda_393	16.598394
2zda_414	193.981033
2zda_429	90.38433
2zda_434	169.298296
2zda_435	125.111613
2zda_442	217.163947
2zda_447	206.718234
2zda_45	32.747305
2zda_470	67.973177
2zda_498	93.239123
2zda_5	33.690279
2zda_500	102.192421
2zda_506	75.660268
2zda_525	74.408322
2zda_533	55.340606
2zda_54	1.545254
2zda_558	68.569901
2zda_561	97.899286
2zda_573	118.449119
2zda_589	89.881524
2zda_615	97.466367
2zda_627	37.549347
2zda_633	71.884525
2zda_643	139.444749
2zda_664	101.92864
2zda_671	123.247637
2zda_677	130.490033
2zda_694	67.973177
2zda_698	132.294296
2zda_739	-1.27607
2zda_748	16.273468
2zda_751	89.540184
2zda_753	52.041925
2zda_758	74.649737
2zda_763	51.29486
2zda_766	80.568235
2zda_767	31.554326
2zda_772	59.464224
2zda_773	84.898508
2zda_777	3.190059
2zda_80	75.386331
2zda_835	-9.619934
2zda_860	-3.606538
2zda_89	37.494571
