#code	score
3g31_ligand	-9.013876
3g31_107	7.648781
3g31_109	-1.018204
3g31_136	13.553133
3g31_210	16.395346
3g31_218	-5.986685
3g31_246	-4.498609
3g31_288	22.968399
3g31_339	-11.742143
3g31_36	3.035889
3g31_362	-8.943949
3g31_392	0.075702
3g31_402	23.214787
3g31_405	23.839461
3g31_413	37.547737
3g31_416	65.408092
3g31_437	96.500656
3g31_442	89.390185
3g31_447	100.201948
3g31_448	43.457589
3g31_457	21.368402
3g31_461	138.796926
3g31_469	118.484184
3g31_472	39.195983
3g31_473	92.028039
3g31_474	75.704427
3g31_475	66.909151
3g31_478	6.731965
3g31_488	34.517469
3g31_496	52.824372
3g31_498	30.236436
3g31_499	54.758176
3g31_512	21.773713
3g31_526	19.716756
3g31_531	17.385872
3g31_532	19.738437
3g31_534	7.80113
3g31_535	32.620825
3g31_537	35.377061
3g31_556	32.577639
3g31_571	41.854824
3g31_580	20.949586
3g31_581	16.696897
3g31_582	13.094433
3g31_584	32.532548
3g31_585	23.453355
3g31_588	41.68891
3g31_596	17.984889
3g31_644	25.924635
3g31_648	82.284084000000007
3g31_652	23.260919
3g31_653	27.874483
3g31_659	31.195413
3g31_663	69.597651
3g31_670	14.047306
3g31_673	30.023112
3g31_687	41.15668
3g31_692	50.185766
3g31_693	28.736128
3g31_697	11.337846
3g31_699	68.962581
3g31_700	25.330469
3g31_740	6.244145
3g31_781	20.239612
3g31_785	24.383856
3g31_786	17.90931
3g31_791	10.49534
3g31_802	26.733159
