#code	score
3gv9_ligand	-11.904645
3gv9_102	-2.583199
3gv9_124	-2.054768
3gv9_227	67.856045
3gv9_24	5.890127
3gv9_242	65.137857
3gv9_247	88.259773
3gv9_256	70.000527
3gv9_258	13.684037
3gv9_259	49.703467
3gv9_263	52.687786
3gv9_266	74.371698
3gv9_277	65.11705
3gv9_281	82.719604
3gv9_285	76.316986
3gv9_293	75.764174
3gv9_298	48.18411
3gv9_30	1.902273
3gv9_300	94.19718
3gv9_304	-3.428362
3gv9_305	31.649314
3gv9_306	0.7916
3gv9_307	19.997223
3gv9_312	10.021662
3gv9_315	24.212344
3gv9_318	14.846189
3gv9_324	-4.459833
3gv9_328	13.960031
3gv9_335	20.056132
3gv9_340	1.926871
3gv9_350	21.314664
3gv9_355	15.922994
3gv9_370	1.033512
3gv9_379	14.507083
3gv9_385	21.569702
3gv9_397	8.383056
3gv9_398	25.473057
3gv9_399	9.925727
3gv9_407	5.126564
3gv9_432	-1.129357
3gv9_453	6.90806
3gv9_462	4.270728
3gv9_467	18.782413
3gv9_47	-2.603903
3gv9_479	22.64413
3gv9_480	14.065943
3gv9_489	-7.583141
3gv9_491	5.275012
3gv9_505	-3.60525
3gv9_509	1.174751
3gv9_537	26.33867
3gv9_540	14.692072
3gv9_545	28.096021
3gv9_556	19.681736
3gv9_559	13.992972
3gv9_561	0.581339
3gv9_563	32.072841
3gv9_564	35.853347
3gv9_565	37.425741
3gv9_579	19.29079
3gv9_59	-3.447664
3gv9_592	56.907118
3gv9_6	-3.205157
3gv9_604	32.148666
3gv9_605	27.417981
3gv9_62	-5.234529
3gv9_623	58.971413
3gv9_626	24.790714
3gv9_630	43.033944
3gv9_639	12.585805
3gv9_642	13.67711
3gv9_658	33.599176
3gv9_660	9.087452
3gv9_661	52.842644
3gv9_670	43.860687
3gv9_674	16.871579
3gv9_685	26.869901
3gv9_688	21.899306
3gv9_697	3.482302
3gv9_7	-4.024927
3gv9_700	8.278121
3gv9_756	12.978004
3gv9_759	30.021952
3gv9_76	2.494314
3gv9_760	9.245529
3gv9_761	10.970842
3gv9_765	58.191564
3gv9_767	25.874413
3gv9_786	4.322081
3gv9_810	90.88281
3gv9_826	1.298781
3gv9_83	12.860666
3gv9_835	26.046385
3gv9_84	-3.801306
3gv9_85	-7.384388
3gv9_858	22.340211
3gv9_875	39.445388
3gv9_96	10.578308
3gv9_98	14.84807
3gv9_990	40.333625
