#code	score
3kgp_ligand	-5.301577
3kgp_20	-13.685084
3kgp_31	-14.410985
3kgp_408	-7.117367
3kgp_420	16.755496
3kgp_431	36.007848
3kgp_434	25.788956
3kgp_457	17.359811
3kgp_465	8.028556
3kgp_475	28.246896
3kgp_477	52.488962
3kgp_483	45.486087
3kgp_491	50.270062
3kgp_492	17.380852
3kgp_493	17.967001
3kgp_496	36.359476
3kgp_5	-13.128618
3kgp_504	27.919567
3kgp_507	23.423761
3kgp_511	2.867826
3kgp_523	12.068579
3kgp_524	42.597306
3kgp_528	51.711094
3kgp_532	15.068883
3kgp_533	66.936021
3kgp_541	23.580228
3kgp_547	48.85887
3kgp_551	79.736618000000007
3kgp_568	32.419242
3kgp_573	52.657059
3kgp_574	28.498324
3kgp_591	18.37969
3kgp_596	40.175597
3kgp_600	46.832018
3kgp_610	52.505421
3kgp_657	17.173049
3kgp_661	13.162866
3kgp_687	33.107785
3kgp_693	43.892475
3kgp_696	32.132271
3kgp_700	54.349601
3kgp_715	9.259933
3kgp_745	24.408963
3kgp_750	12.58647
3kgp_757	8.221293
3kgp_763	57.933858
3kgp_768	21.811109
3kgp_771	79.173591
3kgp_776	38.519947
3kgp_777	51.722104
3kgp_778	39.543716
3kgp_780	7.356183
3kgp_782	55.964663
3kgp_783	30.004576
3kgp_784	44.675334
3kgp_785	45.679759
3kgp_786	50.312399
3kgp_787	23.605268
3kgp_788	42.077864
3kgp_789	46.547065
3kgp_790	51.504413
3kgp_791	53.313276
3kgp_792	48.336648
3kgp_796	26.051168
3kgp_798	49.843135
3kgp_799	29.700917
