#code	score
3o9i_ligand	-50.678226
3o9i_12	-6.52715
3o9i_130	88.376612
3o9i_135	64.769353
3o9i_141	141.811905
3o9i_164	6.846915
3o9i_178	105.18904
3o9i_201	63.393764
3o9i_213	-8.861825
3o9i_215	44.153258
3o9i_219	77.441102
3o9i_222	11.194325
3o9i_227	-22.990827
3o9i_228	73.267316
3o9i_229	70.321097
3o9i_234	74.848617
3o9i_243	78.603435
3o9i_246	48.813916
3o9i_249	28.653325
3o9i_253	38.232457
3o9i_255	37.875895
3o9i_256	-16.436
3o9i_257	59.545941
3o9i_26	18.14548
3o9i_260	63.676958
3o9i_270	12.701118
3o9i_274	56.67605
3o9i_275	17.749662
3o9i_276	35.304674
3o9i_28	49.968475
3o9i_283	78.441496
3o9i_284	75.602644
3o9i_286	62.457494
3o9i_288	68.59679
3o9i_29	16.529135
3o9i_292	89.726673
3o9i_294	52.35887
3o9i_295	51.126205
3o9i_298	99.727595
3o9i_30	-6.252941
3o9i_303	-35.062911
3o9i_314	120.365154
3o9i_318	83.665807
3o9i_340	37.748454
3o9i_358	129.911171
3o9i_359	-21.884034
3o9i_38	-24.47045
3o9i_402	130.989128
3o9i_403	95.060377
3o9i_407	66.989329
3o9i_408	183.670293
3o9i_409	145.560965
3o9i_415	148.017836
3o9i_417	98.181623
3o9i_42	90.270037
3o9i_424	203.953994
3o9i_435	143.97721
3o9i_452	137.210166
3o9i_454	187.905084
3o9i_459	136.299987
3o9i_461	202.582775
3o9i_466	177.287282
3o9i_467	199.490858
3o9i_469	111.477841
3o9i_479	140.794132
3o9i_487	230.516657
3o9i_495	193.013881
3o9i_496	131.681993
3o9i_500	187.084747
3o9i_505	66.032582
3o9i_509	110.643044
3o9i_525	182.639758
3o9i_535	110.507772
3o9i_539	196.296986
3o9i_546	136.224605
3o9i_557	119.739485
3o9i_569	156.930747
3o9i_574	204.900722
3o9i_585	196.838205
3o9i_59	31.380878
3o9i_600	218.207537
3o9i_607	163.640134
3o9i_617	242.065006
3o9i_624	195.510585
3o9i_661	185.608596
3o9i_674	204.029729
3o9i_675	157.168338
3o9i_678	226.336733
3o9i_687	155.234342
3o9i_692	189.137747
3o9i_714	62.637451
3o9i_766	43.561262
3o9i_788	112.925681
3o9i_795	144.368013
3o9i_859	29.419029
3o9i_860	64.204062
3o9i_861	70.159866
3o9i_893	35.316176
3o9i_9	25.181356
3o9i_907	23.045625
3o9i_96	33.323621
