#code	score
3ozs_ligand	-36.319298
3ozs_10	27.377836
3ozs_103	33.62363
3ozs_107	14.27619
3ozs_11	-14.081264
3ozs_110	73.4502
3ozs_113	45.474152
3ozs_120	43.546502
3ozs_123	30.09998
3ozs_130	-4.757584
3ozs_136	31.811278
3ozs_14	9.178478
3ozs_149	44.335586
3ozs_162	16.430371
3ozs_201	33.452719
3ozs_221	49.66992
3ozs_224	66.571091
3ozs_24	22.872762
3ozs_251	-34.557109
3ozs_255	36.886638
3ozs_269	-0.272566
3ozs_273	169.764263
3ozs_275	159.391267
3ozs_28	16.562795
3ozs_307	-20.789354
3ozs_318	8.957903
3ozs_339	20.645277
3ozs_345	34.363516
3ozs_346	21.729981
3ozs_353	-0.692983
3ozs_373	-23.550683
3ozs_379	24.664878
3ozs_389	27.683126
3ozs_406	138.499679
3ozs_413	179.179714
3ozs_417	130.99405
3ozs_430	206.870148
3ozs_431	174.416322
3ozs_432	188.657275
3ozs_439	185.983947
3ozs_44	10.104073
3ozs_442	146.210475
3ozs_443	151.678263
3ozs_446	300.952973
3ozs_451	131.082936
3ozs_46	48.326694
3ozs_465	169.029778
3ozs_478	121.249861
3ozs_479	183.359233
3ozs_48	21.747435
3ozs_480	189.527174
3ozs_484	240.216176
3ozs_487	83.890196
3ozs_494	138.834762
3ozs_496	153.619571
3ozs_505	94.331854
3ozs_517	210.779301
3ozs_529	161.699009
3ozs_531	64.438713
3ozs_536	101.035825
3ozs_537	51.129594
3ozs_542	144.821248
3ozs_546	104.910964
3ozs_550	135.221534
3ozs_554	145.323925
3ozs_558	93.551702
3ozs_559	64.968687
3ozs_560	121.397717
3ozs_567	95.684864
3ozs_574	65.948391
3ozs_575	108.361017
3ozs_585	51.530457
3ozs_586	115.68531
3ozs_593	74.685707
3ozs_596	108.586826
3ozs_6	5.997163
3ozs_60	16.542074
3ozs_611	101.433114
3ozs_63	12.594292
3ozs_646	84.722756
3ozs_649	106.368335
3ozs_656	131.293744
3ozs_659	102.632475
3ozs_664	228.089019
3ozs_666	104.100261
3ozs_682	100.831603
3ozs_72	-21.975612
3ozs_756	11.861692
3ozs_758	78.531672
3ozs_761	67.993984
3ozs_764	50.853619
3ozs_768	10.327896
3ozs_778	75.081286
3ozs_821	50.741121
3ozs_83	-13.169159
3ozs_842	118.36879
3ozs_854	169.475236
3ozs_870	48.307202
3ozs_882	89.919087
3ozs_899	15.196421
3ozs_91	7.730609
