#code	score
3rsx_ligand	-17.936418
3rsx_121	7.296858
3rsx_131	4.183342
3rsx_132	40.819303
3rsx_172	7.373155
3rsx_173	6.854053
3rsx_218	56.587818
3rsx_230	12.792276
3rsx_243	-0.063005
3rsx_249	1.941018
3rsx_266	-8.965182
3rsx_375	-6.155276
3rsx_388	-7.17172
3rsx_408	5.436506
3rsx_423	-15.315172
3rsx_434	16.661558
3rsx_450	11.169364
3rsx_464	6.666538
3rsx_470	7.600399
3rsx_474	4.697336
3rsx_487	21.807288
3rsx_494	42.785668
3rsx_497	-0.177932
3rsx_505	-1.347656
3rsx_506	5.194895
3rsx_515	-3.062438
3rsx_518	7.900513
3rsx_528	17.145246
3rsx_534	24.679
3rsx_535	10.72293
3rsx_537	26.612645
3rsx_549	18.851671
3rsx_553	19.166491
3rsx_554	12.482187
3rsx_556	43.393766
3rsx_569	26.882171
3rsx_574	-10.436099
3rsx_579	33.187574
3rsx_586	-10.025154
3rsx_589	33.760862
3rsx_590	36.786394
3rsx_591	23.582569
3rsx_593	1.066509
3rsx_594	59.948005
3rsx_596	29.402388
3rsx_604	53.920756
3rsx_605	49.344451
3rsx_607	46.699543
3rsx_621	102.904812
3rsx_629	56.32834
3rsx_630	3.184876
3rsx_651	21.584676
3rsx_677	0.440252
3rsx_684	24.110241
3rsx_689	5.522169
3rsx_697	5.12152
3rsx_708	12.783219
3rsx_740	32.208335
3rsx_742	38.778039
3rsx_744	41.500715
3rsx_750	45.384568
3rsx_754	51.594793
3rsx_756	17.846251
3rsx_761	53.684295
3rsx_762	24.229616
3rsx_772	39.475775
3rsx_773	28.635962
3rsx_774	43.185716
3rsx_778	25.85185
3rsx_797	58.106215
3rsx_828	-0.411544
3rsx_868	25.688043
3rsx_912	40.349831
3rsx_918	40.434932
3rsx_934	27.44795
3rsx_936	31.164828
