#code	score
3udh_ligand	-34.415711
3udh_118	8.738155
3udh_121	-16.600191
3udh_130	-23.120155
3udh_234	-5.973242
3udh_30	-17.020311
3udh_318	14.326502
3udh_347	-22.725793
3udh_359	-34.964116
3udh_392	-21.42755
3udh_405	-10.237677
3udh_411	5.71114
3udh_413	4.177252
3udh_418	13.253192
3udh_420	-13.914004
3udh_444	0.936042
3udh_453	7.96598
3udh_459	7.427938
3udh_460	12.933564
3udh_462	4.083543
3udh_464	0.988308
3udh_477	45.478699
3udh_481	3.027378
3udh_491	16.283979
3udh_499	12.053398
3udh_50	-30.222617
3udh_500	25.450486
3udh_519	22.612421
3udh_523	48.57103
3udh_527	23.202763
3udh_528	25.618665
3udh_543	16.114191
3udh_549	10.748114
3udh_566	17.031137
3udh_570	8.72823
3udh_579	0.394533
3udh_581	26.28172
3udh_588	13.30985
3udh_596	20.986875
3udh_634	36.322701
3udh_638	16.725496
3udh_651	30.938165
3udh_670	9.372123
3udh_672	62.827248
3udh_679	18.118548
3udh_685	25.999362
3udh_686	27.325034
3udh_694	32.294319
3udh_712	61.137209
3udh_72	-22.638423
3udh_725	27.52137
3udh_735	25.605603
3udh_738	25.648015
3udh_743	46.508404
3udh_746	8.521806
3udh_752	3.246627
3udh_759	29.66153
3udh_768	64.275716
3udh_780	59.113431
3udh_783	48.931401
3udh_785	51.912311
3udh_797	9.720939
3udh_799	39.444853
3udh_800	31.87376
3udh_823	20.426025
3udh_825	21.578009
3udh_829	27.635756
3udh_832	18.281005
3udh_834	22.292569
3udh_835	28.277818
3udh_837	20.73844
3udh_843	41.865683
3udh_861	10.783398
3udh_885	8.908662
3udh_895	43.97247
3udh_899	49.74152
3udh_926	17.004636
3udh_930	34.689221
3udh_957	4.247432
3udh_997	30.485869
