#code	score
3uo4_ligand	-38.310553
3uo4_137	-19.709401
3uo4_203	-26.890137
3uo4_239	-12.436788
3uo4_25	-19.588961
3uo4_260	-20.831566
3uo4_273	-18.955618
3uo4_274	-13.902859
3uo4_282	-32.610191
3uo4_289	-10.141324
3uo4_293	-21.667822
3uo4_329	-38.129066
3uo4_33	-13.94074
3uo4_343	-40.581872
3uo4_346	-5.622481
3uo4_357	-26.867314
3uo4_360	-18.141098
3uo4_374	-42.248158
3uo4_381	-25.37082
3uo4_383	-8.976483
3uo4_386	-31.724628
3uo4_388	-47.775576
3uo4_422	29.977344
3uo4_430	83.199784
3uo4_435	50.700732
3uo4_446	-3.965319
3uo4_451	91.12337
3uo4_453	25.335055
3uo4_462	68.582538
3uo4_476	30.16286
3uo4_477	65.939932
3uo4_485	48.134022
3uo4_488	25.837308
3uo4_511	23.115412
3uo4_517	24.705006
3uo4_518	49.711306
3uo4_521	92.048181
3uo4_531	-0.814913
3uo4_533	60.034306
3uo4_555	56.856766
3uo4_562	28.18125
3uo4_565	56.979313
3uo4_566	47.138234
3uo4_567	9.420563
3uo4_568	52.748921
3uo4_569	67.904361
3uo4_571	62.593893
3uo4_583	65.66636
3uo4_584	27.917039
3uo4_59	-10.18388
3uo4_595	102.320518
3uo4_596	41.725228
3uo4_605	73.353141
3uo4_609	39.782868
3uo4_646	82.507875
3uo4_647	69.142452
3uo4_658	64.87966
3uo4_660	90.131182
3uo4_669	97.128082
3uo4_677	41.336015
3uo4_678	43.360545
3uo4_679	71.769872
3uo4_688	43.732829
3uo4_690	96.192954
3uo4_691	55.382682
3uo4_695	53.560768
3uo4_696	107.590422
3uo4_698	71.642793
3uo4_710	-10.286006
3uo4_737	19.104596
3uo4_747	-1.248323
3uo4_749	63.827807
3uo4_750	13.282718
3uo4_754	80.345543
3uo4_8	-12.784339
3uo4_820	37.110775
3uo4_822	12.903806
3uo4_825	70.342395
3uo4_831	19.104596
3uo4_837	48.709801
3uo4_844	82.864245
3uo4_845	40.84109
3uo4_848	32.136677
3uo4_89	-1.00083
3uo4_942	-6.900681
3uo4_950	12.903806
