#code	score
4ddk_ligand	-10.384059
4ddk_11	17.342187
4ddk_113	35.274053
4ddk_170	62.524196
4ddk_184	8.112429
4ddk_296	41.420489
4ddk_303	-11.687066
4ddk_327	-14.197906
4ddk_34	7.80345
4ddk_345	-10.089361
4ddk_359	-2.951307
4ddk_361	-14.613654
4ddk_391	-15.611946
4ddk_402	18.73582
4ddk_406	-7.250264
4ddk_41	21.590813
4ddk_410	9.424178
4ddk_413	18.618659
4ddk_419	18.545268
4ddk_431	32.840339
4ddk_432	21.312593
4ddk_438	18.257934
4ddk_443	12.528679
4ddk_444	18.234879
4ddk_445	14.270136
4ddk_450	16.800603
4ddk_451	20.883193
4ddk_457	45.292205
4ddk_460	30.859016
4ddk_464	41.090697
4ddk_466	31.888413
4ddk_467	-0.805088
4ddk_470	26.968915
4ddk_476	44.808693
4ddk_479	38.139334
4ddk_485	43.294777
4ddk_487	52.613427
4ddk_488	40.549989
4ddk_496	24.362915
4ddk_515	33.290687
4ddk_525	38.08076
4ddk_528	38.489469
4ddk_53	41.02158
4ddk_535	82.614707
4ddk_536	71.401528
4ddk_538	59.081326
4ddk_541	20.333014
4ddk_542	76.23902
4ddk_543	46.179426
4ddk_546	2.798137
4ddk_550	64.991375
4ddk_568	56.382764
4ddk_580	81.868868
4ddk_583	8.250237
4ddk_59	45.86496
4ddk_596	71.396046
4ddk_606	50.59569
4ddk_621	40.835635
4ddk_628	54.712031
4ddk_632	40.687336
4ddk_642	18.268209
4ddk_644	89.996549
4ddk_650	36.371061
4ddk_651	102.636303
4ddk_652	40.252268
4ddk_660	62.472197
4ddk_664	36.136005
4ddk_672	19.600188
4ddk_680	49.185851
4ddk_684	50.861559
4ddk_689	60.407051
4ddk_696	59.750509
4ddk_709	90.457387
4ddk_726	17.911505
4ddk_751	49.277159
4ddk_755	18.846371
4ddk_767	30.279108
4ddk_771	37.607396
4ddk_773	5.536932
4ddk_776	22.009807
4ddk_78	20.118491
4ddk_782	45.522763
4ddk_811	69.091227
4ddk_812	77.735488
4ddk_813	84.102214
4ddk_815	89.664869
4ddk_820	56.310792
4ddk_836	31.193222
4ddk_872	24.602165
4ddk_878	29.41557
4ddk_881	43.439542
4ddk_882	53.616812
4ddk_89	26.393175
4ddk_925	71.772284
4ddk_939	2.351136
4ddk_951	56.074079
4ddk_953	48.553663
4ddk_959	54.731692
4ddk_962	53.070438
4ddk_970	46.082359
