#code	score
4eky_ligand	-41.242642
4eky_274	14.754016
4eky_287	46.087642
4eky_32	-35.833974
4eky_38	-32.849218
4eky_407	49.291217
4eky_416	77.390238
4eky_419	7.888765
4eky_424	75.220932
4eky_425	59.241085
4eky_430	10.034303
4eky_433	80.753030999999993
4eky_438	46.446278
4eky_443	66.105259
4eky_448	110.542303
4eky_461	84.02907
4eky_475	87.520459
4eky_478	61.496918
4eky_485	103.512496
4eky_495	47.807707
4eky_496	109.892683
4eky_534	53.562703
4eky_538	117.519038
4eky_546	82.463694
4eky_565	38.993333
4eky_568	68.670604
4eky_582	121.158169
4eky_599	93.096255
4eky_609	61.730945
4eky_619	79.06946
4eky_636	64.525764
4eky_638	98.118694
4eky_639	101.534328
4eky_640	78.199924
4eky_641	103.450457
4eky_647	111.582971
4eky_649	40.822136
4eky_651	62.522982
4eky_659	95.8257
4eky_668	85.533952
4eky_673	52.286578
4eky_678	119.031891
4eky_680	87.478855
4eky_693	30.659622
4eky_699	30.308303
4eky_700	56.561787
4eky_720	-2.375413
4eky_725	-33.199087
4eky_727	12.743453
4eky_730	-2.930879
4eky_741	9.861371
4eky_742	22.99429
4eky_755	-29.569659
4eky_759	22.557629
4eky_763	39.173993
4eky_767	59.08248
4eky_768	17.335687
4eky_770	70.270615
4eky_771	124.784657
4eky_772	142.433813
4eky_773	93.911686
4eky_774	121.33253
4eky_776	103.753471
4eky_777	156.343107
4eky_778	202.203006
4eky_779	157.531082
4eky_830	17.248121
4eky_842	1.816227
4eky_848	-7.469438
4eky_856	15.261561
4eky_875	-10.235527
4eky_876	9.837096
4eky_883	-31.739581
4eky_899	-37.448418
4eky_908	-29.120735
4eky_941	-25.78407
4eky_969	-26.19393
4eky_972	-30.492443
