#code	score
4jsz_ligand	-5.438687
4jsz_1	-4.91076
4jsz_100	3.311101
4jsz_113	-7.64402
4jsz_138	-1.933494
4jsz_150	17.031860000000002
4jsz_156	-0.533966
4jsz_160	3.252884
4jsz_215	10.406972
4jsz_218	29.053935
4jsz_24	17.916914
4jsz_26	16.335744
4jsz_262	5.682452
4jsz_269	65.335769
4jsz_306	2.668926
4jsz_31	21.050269
4jsz_321	-0.011542
4jsz_323	-2.395501
4jsz_359	19.774491
4jsz_38	17.728596
4jsz_390	-1.59248
4jsz_466	41.944963
4jsz_47	24.091148
4jsz_476	65.306814
4jsz_48	21.34855
4jsz_491	44.135466
4jsz_494	41.217361
4jsz_498	17.253885
4jsz_506	0.911447
4jsz_509	35.371983
4jsz_511	28.965456
4jsz_512	15.650355
4jsz_545	2.938553
4jsz_549	19.80434
4jsz_554	11.848291
4jsz_559	16.42401
4jsz_560	27.246674
4jsz_561	13.38
4jsz_571	58.195822
4jsz_574	24.371298
4jsz_581	0.820315
4jsz_585	21.992976
4jsz_59	18.874957
4jsz_593	30.866863
4jsz_60	-2.435747
4jsz_600	26.629191
4jsz_625	48.010072
4jsz_63	17.772508
4jsz_645	19.005755
4jsz_65	17.559853
4jsz_662	25.021327
4jsz_672	6.275909
4jsz_677	44.861107
4jsz_698	36.073917
4jsz_71	-5.470047
4jsz_710	32.942412
4jsz_74	-1.024782
4jsz_742	18.792696
4jsz_756	17.746008
4jsz_762	6.086457
4jsz_771	-0.915655
4jsz_772	6.92317
4jsz_774	6.176901
4jsz_775	4.341087
4jsz_815	21.702496
4jsz_83	13.476355
4jsz_85	18.117367
4jsz_93	20.996129
