#code	score
4kz6_ligand	-21.472837
4kz6_110	7.347315
4kz6_112	-1.396871
4kz6_143	2.373201
4kz6_160	-0.989893
4kz6_20	22.431178
4kz6_267	31.079157
4kz6_308	-21.986596
4kz6_315	-14.080065
4kz6_350	-15.465782
4kz6_365	-11.991785
4kz6_373	-22.116574
4kz6_389	-10.503283
4kz6_403	98.645127
4kz6_408	98.173543
4kz6_419	74.45928
4kz6_490	88.299518
4kz6_511	12.939161
4kz6_527	26.003569
4kz6_529	44.581402
4kz6_534	66.804845
4kz6_548	21.198237
4kz6_549	13.296733
4kz6_553	18.271596
4kz6_588	28.827548
4kz6_593	11.410232
4kz6_658	46.609231
4kz6_665	16.160142
4kz6_666	24.078224
4kz6_679	20.086963
4kz6_681	28.551455
4kz6_694	2.051684
4kz6_701	7.086097
4kz6_723	3.288621
4kz6_726	32.698809
4kz6_731	-0.679844
4kz6_745	18.269032
4kz6_746	24.797417
4kz6_748	8.54478
4kz6_754	25.986582
4kz6_755	28.907175
4kz6_761	26.724624
4kz6_764	10.34228
4kz6_766	14.485411
4kz6_768	61.25937
4kz6_772	16.710703
4kz6_773	31.544325
4kz6_775	14.433415
4kz6_776	18.905267
4kz6_778	73.518729
4kz6_785	31.656129
4kz6_787	56.095295
4kz6_790	13.753842
4kz6_796	60.221314
4kz6_798	53.791581
4kz6_815	11.648892
4kz6_819	15.435131
4kz6_839	38.292419
4kz6_840	28.198812
4kz6_853	7.797679
4kz6_854	24.684448
4kz6_858	13.031291
4kz6_873	17.537893
4kz6_874	10.520732
4kz6_875	25.572285
4kz6_878	43.931723
4kz6_879	6.614776
4kz6_888	10.582075
4kz6_892	10.274838
4kz6_895	9.408159
4kz6_897	37.5086
4kz6_900	1.184028
4kz6_925	17.263666
4kz6_955	-10.454198
4kz6_958	22.417809
4kz6_960	-6.747315
4kz6_974	18.512556
