#code	score
4x6p_ligand	-55.033837
4x6p_106	77.345675
4x6p_114	50.990242
4x6p_121	90.38999
4x6p_125	50.431544
4x6p_142	-43.312574
4x6p_147	61.430411
4x6p_170	89.032373
4x6p_18	62.629033
4x6p_195	50.282993
4x6p_197	89.451016
4x6p_201	14.948132
4x6p_203	7.04795
4x6p_204	3.684718
4x6p_214	12.3828
4x6p_215	14.737475
4x6p_221	63.789039
4x6p_224	13.073481
4x6p_231	31.928609
4x6p_25	82.677226
4x6p_254	1.303867
4x6p_265	69.185638
4x6p_277	52.621565
4x6p_300	44.97071
4x6p_304	-9.735226
4x6p_312	-40.500427
4x6p_316	57.929557
4x6p_324	-38.701157
4x6p_33	50.59558
4x6p_344	7.9283
4x6p_346	17.810518
4x6p_380	39.547525
4x6p_381	-22.854717
4x6p_398	0.678124
4x6p_401	182.208086
4x6p_407	106.851086
4x6p_421	196.707521
4x6p_426	135.946809
4x6p_427	138.99282
4x6p_432	225.225863
4x6p_438	120.802795
4x6p_439	118.007801
4x6p_441	75.671098
4x6p_448	204.9088
4x6p_454	157.356171
4x6p_463	236.545365
4x6p_481	105.797648
4x6p_486	133.560915
4x6p_504	118.190332
4x6p_513	102.674388
4x6p_518	166.272706
4x6p_521	137.802517
4x6p_528	73.664372
4x6p_532	96.844593
4x6p_533	153.226276
4x6p_544	153.400568
4x6p_548	116.545249
4x6p_549	147.317988
4x6p_550	191.051064
4x6p_551	97.957487
4x6p_553	141.682445
4x6p_555	131.547709
4x6p_559	120.054862
4x6p_568	27.747779
4x6p_570	21.166083
4x6p_571	67.342458
4x6p_577	110.885454
4x6p_579	139.236037
4x6p_583	61.558976
4x6p_592	102.979551
4x6p_596	114.045596
4x6p_612	128.097224
4x6p_620	59.15524
4x6p_621	164.610758
4x6p_623	150.409116
4x6p_636	179.507609
4x6p_637	137.091953
4x6p_642	169.264369
4x6p_644	185.555215
4x6p_646	132.06635
4x6p_649	198.411926
4x6p_650	151.477509
4x6p_653	173.975464
4x6p_657	101.109408
4x6p_665	123.460602
4x6p_666	146.642701
4x6p_667	132.736649
4x6p_668	62.44511
4x6p_674	122.812859
4x6p_688	143.95852
4x6p_689	200.877088
4x6p_693	142.51044
4x6p_696	149.084645
4x6p_706	-2.366066
4x6p_820	22.583251
4x6p_835	3.424516
4x6p_876	4.869047
4x6p_889	-21.285384
4x6p_89	80.655104
4x6p_97	79.398246
4x6p_98	51.480726
