#code	score
5tmn_ligand	-38.119845
5tmn_117	18.760953
5tmn_125	59.021972
5tmn_141	74.776864
5tmn_142	53.334125
5tmn_155	69.344575
5tmn_161	83.735264
5tmn_162	116.923215
5tmn_197	41.716828
5tmn_199	7.737766
5tmn_203	70.33737
5tmn_210	119.898611
5tmn_219	76.101536
5tmn_22	51.238212
5tmn_222	61.682125
5tmn_223	113.178333
5tmn_226	121.684549
5tmn_232	98.839432
5tmn_236	113.620172
5tmn_254	115.952999
5tmn_261	95.705933
5tmn_273	57.163831
5tmn_284	68.701557
5tmn_288	117.872791
5tmn_29	46.026041
5tmn_297	82.675864
5tmn_302	40.085079
5tmn_303	122.291038
5tmn_326	29.442394
5tmn_35	35.21139
5tmn_357	40.023106
5tmn_362	76.562918
5tmn_375	43.001882
5tmn_38	36.510858
5tmn_452	79.346242
5tmn_462	279.507687
5tmn_464	226.201513
5tmn_465	164.283375
5tmn_468	243.010545
5tmn_498	253.633689
5tmn_513	83.114079
5tmn_518	122.343194
5tmn_526	250.883923
5tmn_535	105.135066
5tmn_537	102.86766
5tmn_540	131.043665
5tmn_541	33.759902
5tmn_551	66.006078
5tmn_552	131.159727
5tmn_553	200.326578
5tmn_559	102.636766
5tmn_566	123.358997
5tmn_582	83.637539
5tmn_588	181.156993
5tmn_592	85.798234
5tmn_596	105.337949
5tmn_609	173.79005
5tmn_61	26.443916
5tmn_624	141.967242
5tmn_639	63.023686
5tmn_640	147.611814
5tmn_643	89.497034
5tmn_649	246.854856
5tmn_654	254.419305
5tmn_659	204.700705
5tmn_681	141.83607
5tmn_685	97.99073
5tmn_695	138.966744
5tmn_700	101.786487
5tmn_707	10.389999
5tmn_717	30.497875
5tmn_725	51.675837
5tmn_741	3.604481
5tmn_742	-4.844161
5tmn_754	40.10829
5tmn_756	4.313349
5tmn_758	52.729888
5tmn_780	54.914783
5tmn_782	73.303422
5tmn_783	31.201719
5tmn_786	18.208604
5tmn_791	51.171209
5tmn_792	59.023456
5tmn_797	47.532586
5tmn_799	46.480403
5tmn_858	58.218009
5tmn_870	30.084024
5tmn_88	43.001989
5tmn_892	73.088701
5tmn_950	20.820786
5tmn_976	64.67391
5tmn_996	81.628276
