#code	score
1a30	-3531.029756
1bcu	-2123.146929
1bzc	-3089.170425
1c5z	-1506.35092
1e66	-3523.978722
1eby	-6575.985158
1g2k	-5994.992427
1gpk	-3114.580869
1gpn	-3282.572875
1h22	-5255.92406
1h23	-5571.554613
1k1i	-3865.942789
1lpg	-3426.518822
1mq6	-2851.667781
1nc1	-3474.372091
1nc3	-3289.665909
1nvq	-5029.323576
1o0h	-3144.818092
1o3f	-3035.260826
1o5b	-2003.346564
1owh	-2985.426527
1oyt	-4243.198502
1p1n	-2588.563562
1p1q	-2323.823928
1ps3	-2759.821187
1pxn	-3335.323747
1q8t	-2808.910129
1q8u	-3356.101305
1qf1	-3555.335409
1qkt	-3028.033793
1r5y	-2054.510759
1s38	-2173.293863
1sqa	-3515.802208
1syi	-2861.418739
1u1b	-2509.726157
1uto	-1407.301856
1vso	-2821.304162
1w4o	-2289.251748
1y6r	-3487.391651
1yc1	-4272.204051
1ydr	-3113.764536
1ydt	-4261.608572
1z6e	-4690.483853
1z95	-4543.598945
1z9g	-2293.995493
2al5	-2710.740188
2br1	-3865.059154
2brb	-3189.019665
2c3i	-3297.356953
2cbv	-2151.478549
2cet	-3657.554216
2fvd	-4405.344156
2fxs	-3552.282006
2hb1	-1961.504629
2iwx	-3498.157665
2j78	-2414.404663
2j7h	-1861.046729
2p15	-4815.394215
2p4y	-5485.791972
2pog	-3220.126501
2qbp	-3086.632257
2qbq	-3654.869247
2qbr	-3426.729239
2qe4	-3465.958055
2qnq	-5484.181605
2r9w	-3275.267199
2v00	-1671.312029
2v7a	-4453.186269
2vkm	-6624.703328
2vvn	-2825.714445
2vw5	-4214.010405
2w4x	-2556.695743
2w66	-2704.329929
2wbg	-3627.638918
2wca	-2334.531322
2weg	-1841.569085
2wer	-3296.738559
2wn9	-2790.173883
2wnc	-3033.103531
2wtv	-4441.857223
2wvt	-2095.297023
2x00	-4773.358407
2xb8	-3671.576906
2xbv	-4756.19612
2xdl	-2707.699529
2xii	-3690.682829
2xj7	-2712.25322
2xnb	-4092.869372
2xys	-3827.109247
2y5h	-3941.100301
2yfe	-3233.911158
2yge	-4832.806104
2yki	-5359.247935
2ymd	-2246.671893
2zb1	-3821.323771
2zcq	-3450.912991
2zcr	-4065.616049
2zda	-3945.193354
2zy1	-3648.994567
3acw	-2979.13045
3ag9	-3301.659475
3ao4	-2459.215682
3arp	-4626.551415
3arq	-4170.779128
3aru	-2447.835336
3arv	-2949.564055
3ary	-2026.716462
3b1m	-5085.639356
3b27	-2629.661653
3b5r	-4471.630922
3b65	-3998.699334
3b68	-4985.823584
3bgz	-3337.698685
3bv9	-4933.214174
3cj4	-2683.58424
3coy	-4855.591984
3coz	-4640.491566
3d4z	-2432.912914
3d6q	-1772.681577
3dd0	-2359.517758
3dx1	-1682.203102
3dx2	-2206.808752
3dxg	-1948.461338
3e5a	-4313.017321
3e92	-3924.620873
3e93	-5369.410329
3ebp	-3050.756613
3ehy	-2547.72009
