#code	score
1a30	-3920.648578
1a30	-3632.929818
1bcu	-2376.627427
1bzc	-3434.699634
1bzc	-3469.391853
1c5z	-1644.45823
1e66	-3929.462273
1eby	-7398.362069
1g2k	-6765.616672
1gpk	-3481.161904
1gpn	-3665.925839
1h22	-5864.070299
1h23	-6222.759757
1k1i	-4017.408698
1lpg	-5171.048114
1mq6	-4953.5271
1nc1	-3847.893677
1nc3	-3628.104938
1nvq	-5677.863807
1o0h	-3637.08959
1o3f	-3351.433262
1o5b	-2216.716414
1owh	-3306.040562
1oyt	-4705.631397
1p1n	-2884.562368
1p1q	-2598.458575
1ps3	-3085.602773
1pxn	-3671.091059
1q8t	-3094.26243
1q8u	-3786.660685
1qf1	-4058.580086
1qkt	-3432.577348
1r5y	-2265.348664
1s38	-2398.812033
1sqa	-3839.244825
1syi	-3195.3729
1u1b	-5269.643283
1uto	-1536.165753
1vso	-3190.29273
1w4o	-2568.383749
1y6r	-3835.130274
1yc1	-4848.56951
1ydr	-3530.440392
1ydt	-4720.257129
1z6e	-5167.466145
1z95	-5202.348659
1z9g	-2568.018019
2al5	-3052.6148
2br1	-4340.20464
2brb	-3565.854102
2c3i	-3634.939264
2cbv	-2381.657625
2cet	-4075.126469
2fvd	-4903.365013
2fxs	-4026.74149
2hb1	-2236.78135
2iwx	-3966.405508
2j78	-2684.870391
2j7h	-2051.953037
2p15	-5440.103381
2p4y	-6227.292964
2pog	-3635.922461
2qbp	-4736.233502
2qbq	-4134.049246
2qbr	-3885.003532
2qe4	-3889.598925
2qnq	-6256.918763
2r9w	-3948.670943
2v00	-2599.699563
2v7a	-5023.90974
2vkm	-7414.640792
2vvn	-3132.945537
2vw5	-4930.687458
2w4x	-2789.532856
2w66	-3012.835261
2wbg	-3936.325337
2wca	-3138.94582
2weg	-2101.917066
2wer	-3823.788397
2wn9	-3200.738085
2wnc	-3417.017673
2wtv	-5031.111033
2wvt	-2327.606556
2x00	-5364.30385
2xb8	-4112.742094
2xbv	-5564.746676
2xdl	-3044.701831
2xii	-4209.103007
2xj7	-2991.426847
2xj7	-2974.068142
2xnb	-4433.985605
2xys	-4269.559293
2y5h	-4357.9471809999995
2yfe	-3649.415008
2yge	-5418.197961
2yki	-5965.807637
2ymd	-2510.008996
2zb1	-4240.646466
2zcq	-4072.485454
2zcr	-4648.61327
2zda	-4377.910227
2zy1	-4162.557275
3acw	-3578.369152
3ag9	-6110.722423
3ao4	-2662.126367
3arp	-5302.095896
3arq	-4712.147658
3aru	-2721.373995
3arv	-3302.940085
3ary	-2264.913057
3b1m	-5686.863443
3b27	-2854.074866
3b5r	-5112.864071
3b65	-4545.395776
3b68	-5636.175405
3bgz	-3801.28042
3bv9	-5621.868736
3cj4	-3023.38552
3coy	-5396.874771
3coz	-5166.029073
3d4z	-2707.953902
3d6q	-2606.805392
3dd0	-2525.044073
3dx1	-1867.846212
3dx2	-2434.051544
3dxg	-2658.291
3e5a	-4679.736298
3e92	-4369.55403
3e93	-5990.736318
3ebp	-3416.106445
3ehy	-2761.288999
3ejr	-4186.716973
3f3a	-2841.050886
3f3c	-2676.693528
3f3d	-1828.659036
3f3e	-1857.953612
3fcq	-2310.773885
3fcq	-2341.300861
3fur	-4762.604344
3fv1	-4135.230511
3fv2	-3996.327427
3g0w	-4458.936304
3g2n	-3830.595482
3g2z	-1941.261686
3g31	-1543.966803
3gbb	-3462.786874
3gc5	-3521.637275
3ge7	-4153.804384
3gnw	-6539.930945
3gr2	-1768.418376
3gv9	-1762.20163
3gv9	-1755.786184
3gy4	-1827.120597
3ivg	-4661.341104
3jvr	-2481.537101
3jvs	-3130.523773
3jya	-2555.698133
3k5v	-3989.871134
3kgp	-1844.926646
3kr8	-3797.726897
3kwa	-2290.832717
3l7b	-3538.649904
3lka	-2127.504999
3mss	-2713.426944
3myg	-4020.723209
3n76	-4311.045268
3n7a	-2297.757126
3n86	-4560.106305
3nq9	-1302.864377
3nw9	-5746.992364
3nx7	-3273.618711
3o9i	-6650.739016
3oe4	-5025.652759
3oe5	-4868.668985
3ozs	-5125.664982
3ozt	-4745.457307
3p5o	-4089.823081
3prs	-6470.822984
3pww	-6974.632507
3pxf	-2076.772693
3pyy	-3405.669279
3qgy	-4154.598359
3qqs	-3059.456427
3r88	-1975.046576
3rlr	-3944.203447
3rlr	-3969.430359
3rlr	-3974.975152
3rr4	-3137.639328
3rsx	-2229.0851
3ryj	-3025.895656
3syr	-3797.168144
3tsk	-5507.704464
3twp	-1456.687912
3u5j	-3154.677786
3u8k	-2932.37786
3u8n	-3235.713639
3u9q	-1998.420644
3udh	-2395.013595
3ueu	-2146.867946
3uev	-2276.287359
3uew	-2421.716217
3uex	-2879.595045
3ui7	-3415.463449
3uo4	-4260.230689
3up2	-4337.517753
3uri	-7987.98463
3uri	-7984.555194
3uri	-7959.662632
3utu	-5984.022524
3uuo	-3042.446098
3wtj	-2998.636159
3wz8	-4813.200187
3zdg	-2492.548323
3zso	-4648.239025
3zso	-4648.239025
3zsx	-3733.257466
3zt2	-3280.179412
4abg	-2066.29593
4agn	-3102.435245
4agp	-3203.195955
4agq	-3478.406324
4bkt	-2278.290426
4cig	-4069.497666
4ciw	-2970.332579
4cr9	-2198.142907
4cra	-5221.966434
4crc	-5571.89324
4ddh	-2739.466497
4ddk	-2221.99656
4de1	-3380.617804
4de2	-3503.407639
4de3	-3134.024083
4djv	-4284.63494
4dld	-3832.600247
4dli	-3463.597256
4e5w	-4757.030922
4e6q	-3869.615853
4ea2	-3940.177807
4eky	-4468.969506
4eo8	-3507.732553
4eor	-4282.309295
4f09	-3130.597038
4f2w	-3779.392447
4f3c	-4261.02998
4f9w	-3968.388428
4gfm	-3137.234461
4gid	-7712.692813
4gkm	-3001.2083
4gr0	-6446.316819
4hge	-4126.679308
4ih5	-2943.196888
4ih7	-2759.817112
4ivb	-3946.641553
4ivc	-4126.309936
4ivd	-4242.239387
4j21	-3608.468126
4j21	-3625.115919
4j28	-2504.231172
4j3l	-4029.452347
4jfs	-2584.76939
4jfs	-2575.253205
4jia	-4035.435024
4jsz	-1285.125189
4jxs	-3139.998091
4k18	-4616.762858
4k77	-3123.967469
4kz6	-2217.69902
4kzq	-3279.014282
4kzu	-3348.414115
4llx	-1373.712721
4lzs	-2366.542828
4m0y	-3093.800508
4m0z	-4119.418621
4mgd	-3305.806884
4mme	-3717.745276
4ogj	-3936.464163
4owm	-1476.941342
4pcs	-2277.227593
4qac	-4355.399548
4qd6	-3352.970045
4rfm	-4899.454234
4tmn	-5554.23813
4twp	-4461.242245
4ty7	-5085.223893
4u4s	-2527.924521
4w9c	-3175.617672
4w9h	-3989.18348
4w9i	-3939.557419
4w9l	-4417.301837
4w9l	-4405.647181
4wiv	-3317.298576
4x6p	-5983.288869
5a7b	-3663.938159
5aba	-2646.179568
5c28	-1912.760759
5c2h	-4726.94678
5dwr	-5192.16125
5tmn	-4617.150531
