     code  logKa         score
1    4llx   2.89   1798.107088
2    5c28   5.66   3003.714354
3    3uuo   7.96   5924.271633
4    3ui7   9.00   6732.246644
5    5c2h  11.09   9041.568158
6    2v00   3.66   3559.638030
7    3wz8   5.82   8639.093450
8    3pww   7.32  14350.469927
9    3prs   7.82  11367.850958
10   3uri   9.00  17589.875520
11   4m0z   5.19   7617.783768
12   4m0y   6.46   5427.500142
13   3qgy   7.80   7854.936813
14   4qd6   8.64   6258.969119
15   4rfm  10.05   9065.870052
16   4cr9   4.10   3305.240351
17   4cra   7.22  10138.227437
18   4x6p   8.30  11596.524610
19   4crc   8.72  10982.996590
20   4ty7   9.52   9806.833709
21   5aba   2.98   4023.632491
22   5a7b   3.57   6057.796694
23   4agn   3.97   4878.907502
24   4agp   4.69   5529.968948
25   4agq   5.01   5761.076113
26   3bgz   6.26   6945.841952
27   3jya   6.89   4248.965983
28   2c3i   7.60   6465.329397
29   4k18   8.96   9011.959849
30   5dwr  11.22  10064.705129
31   3mss   4.66   4470.673989
32   3k5v   6.30   6697.370931
33   3pyy   6.86   5555.917072
34   2v7a   8.30   9528.130572
35   4twp  10.00   8324.965432
36   3wtj   6.53   4875.526778
37   3zdg   7.10   3982.637346
38   3u8k   8.66   4840.374028
39   4qac   9.40   7955.925115
40   3u8n  10.17   5440.008278
41   1a30   4.30   7250.109055
42   2qnq   6.11  12475.134523
43   1g2k   7.96  13890.711365
44   1eby   9.70  14974.762978
45   3o9i  11.82  13198.865943
46   4lzs   4.80   3856.394068
47   3u5j   5.61   5489.802030
48   4wiv   6.26   6247.511705
49   4ogj   6.79   7382.032463
50   3p5o   7.30   7850.812166
51   1ps3   2.28   5026.917933
52   3dx1   3.58   2521.837459
53   3d4z   4.89   4226.190402
54   3dx2   6.82   3690.271212
55   3ejr   8.57   7388.336614
56   3l7b   2.40   6428.353304
57   4eky   3.52   8550.552202
58   3g2n   4.09   7056.001523
59   3syr   5.10   7055.923492
60   3ebp   5.91   5967.519166
61   2w66   4.05   5124.655388
62   2w4x   4.85   4901.810344
63   2wca   5.60   5946.616560
64   2xj7   6.66   5064.686947
65   2vvn   7.30   5379.838936
66   3aru   3.22   4830.368824
67   3arv   5.64   5820.907866
68   3ary   6.00   3998.718317
69   3arq   6.40   8865.839520
70   3arp   7.15   9601.259399
71   4ih5   4.11   5203.402885
72   4ih7   5.24   4903.013349
73   3cj4   6.51   6252.438819
74   4eo8   8.15   7371.330376
75   3gnw   9.10  14405.710140
76   1gpk   5.37   6055.501918
77   1gpn   6.48   6630.141589
78   1h23   8.35  11943.139177
79   1h22   9.10  11173.689919
80   1e66   9.89   7252.799090
81   3f3a   4.19   2666.902523
82   3f3c   6.02   4153.355416
83   4mme   6.50   6459.681715
84   3f3d   7.16   2695.440834
85   3f3e   7.70   2769.184295
86   2wbg   4.45   7254.283906
87   2cbv   5.48   3609.810767
88   2j78   6.42   4205.505708
89   2j7h   7.19   2999.828628
90   2cet   8.02   7521.369985
91   3udh   2.85   4007.224500
92   3rsx   4.41   3967.012907
93   4djv   6.72   8293.291643
94   2vkm   8.74  15276.711602
95   4gid  10.77  15649.548870
96   4jfs   5.27   4525.325645
97   4j28   5.70   4277.242574
98   2wvt   6.12   3780.957727
99   2xii   7.20   7667.903685
100  4pcs   7.85   3905.138428
101  3rr4   4.55   5329.505109
102  1s38   5.15   3632.125721
103  1r5y   6.46   3380.217216
104  3gc5   7.26   6155.282870
105  3ge7   8.70   7748.899472
106  4dli   5.62   5570.954361
107  2zb1   6.32   7639.835606
108  4f9w   6.94   7193.664047
109  3e92   8.00   7901.045092
110  3e93   8.85  11133.502662
111  4owm   2.96   2020.922989
112  3twp   3.92   1960.761478
113  3r88   4.82   3022.158791
114  4gkm   5.17   4693.676078
115  3qqs   5.82   4768.679901
116  3gv9   2.12   2705.657704
117  3gr2   2.52   2756.561914
118  4kz6   3.10   3713.826984
119  4jxs   4.74   5463.137992
120  2r9w   5.10   7445.847051
121  2hb1   3.80   3650.828817
122  1bzc   4.92   6206.440816
123  2qbr   6.33   6943.892530
124  2qbq   7.44   7727.034157
125  2qbp   8.40   7386.797645
126  1q8t   4.76   5493.509641
127  1ydr   5.52   6618.459515
128  1q8u   5.96   7171.921363
129  1ydt   7.32   9298.588234
130  3ag9   8.05   9526.325041
131  3fcq   2.77   3652.372580
132  1z9g   5.64   4466.132799
133  1qf1   7.32   7432.563257
134  5tmn   8.04   8725.493791
135  4tmn  10.17   7585.768380
136  4ddk   2.29   3228.540190
137  4ddh   3.32   4257.628131
138  3ivg   4.30   7152.015191
139  3coz   5.57   9617.472558
140  3coy   6.02  10129.958666
141  3pxf   4.43   3317.367393
142  4eor   6.30   8164.550905
143  2xnb   6.83   8250.706603
144  1pxn   7.15   6623.214827
145  2fvd   8.52   9245.822930
146  4k77   6.63   5444.724980
147  4e5w   7.66   8641.032704
148  4ivb   8.72   7080.495341
149  4ivd   9.52   7673.776519
150  4ivc  10.00   7402.067147
151  4f09   6.70   5483.738038
152  4gfm   7.22   5304.271926
153  4hge   7.92   7702.591564
154  4e6q   8.36   7008.174526
155  4jia   9.22   7212.946286
156  2brb   4.86   6368.795409
157  2br1   5.14   7711.502151
158  3jvr   5.72   3992.330759
159  3jvs   6.54   5384.336851
160  1nvq   8.25  11679.232011
161  3acw   4.76   5659.641048
162  4ea2   6.44   7594.598724
163  2zcr   6.87   8234.706508
164  2zy1   7.40   7298.338517
165  2zcq   8.82   7131.087392
166  1bcu   3.28   3771.520909
167  3bv9   5.36  11787.906611
168  1oyt   7.24   9190.841897
169  2zda   8.40   8473.181645
170  3utu  10.92  12573.263843
171  3u9q   4.38   3382.658636
172  2yfe   6.63   7130.269320
173  3fur   8.00   9232.727253
174  3b1m   8.48  11426.247062
175  2p4y   9.00  12434.562794
176  3uo4   6.52   8013.642448
177  3up2   7.40   7814.357032
178  3e5a   8.23   9385.923408
179  2wtv   8.74  10081.637132
180  3myg  10.70   6818.293909
181  3kgp   2.57   2864.551460
182  1c5z   4.01   2280.968403
183  1o5b   5.77   3315.991176
184  1owh   7.40   5892.072505
185  1sqa   9.21   7474.682594
186  4jsz   2.30   1192.376485
187  3kwa   4.08   4004.222990
188  2weg   6.50   3397.627544
189  3ryj   7.80   5236.393824
190  3dd0   9.00   4652.539051
191  2xdl   3.10   4849.976198
192  3b27   5.16   4801.215522
193  1yc1   6.17   8837.249688
194  3rlr   7.52   7480.798966
195  2yki   9.46  11258.356831
196  1z95   7.12   9980.692515
197  3b68   8.40  10732.105851
198  3b5r   8.77   9797.951556
199  3b65   9.27   8585.605621
200  3g0w   9.52   8205.308375
201  4u4s   2.92   4152.458195
202  1p1q   4.89   4031.325405
203  1syi   5.44   5189.580452
204  1p1n   6.80   4896.000717
205  2al5   8.40   4885.891408
206  3g2z   2.36   2454.233050
207  3g31   2.89   2390.099839
208  4de2   4.12   6320.571178
209  4de3   5.52   5610.626269
210  4de1   5.96   5846.672241
211  1vso   4.72   5777.770936
212  4dld   5.82   7141.330124
213  3gbb   6.90   5997.767360
214  3fv2   8.11   6809.491185
215  3fv1   9.30   7178.305761
216  4mgd   4.69   5926.265469
217  2qe4   7.96   7652.147204
218  1qkt   9.04   6229.303462
219  2pog   9.54   6808.327835
220  2p15  10.30  11345.480651
